,image_path,source,target,generated_linguistic_metaphor,entailing_literal,contradicting_metaphor,contradicting_literal,literal_description,objects,properties,relations,visual_elaboration
11,imgs/1802_0.jpg,Resource,Time,Time is a precious mineral being mined away.,Each moment spent is irretrievable and reduces our remaining time.,Time is a self-replenishing wellspring that flows more abundantly with each draw.,Time accumulates and grows the more we use it.,"Time is valuable and finite, gradually depleting.","Time, Mineral","Precious, Limited, Diminishing",Being extracted/depleted through mining,A glowing hourglass made of crystal being chipped away by miners with pickaxes.
12,imgs/1069_3.jpg,Transferring An Object,Acting On,The supervisor shifted responsibility to the team leads.,The supervisor delegated management duties to the team leads.,"The supervisor clutched all responsibilities tightly, refusing to hand them over to the team leads.",The supervisor maintained all responsibilities at their level.,Transfer of burden or duty from one person to others.,"Supervisor, team leads, responsibility","Heavy, transferable, burden-like",Moving/shifting from one person to others,"A supervisor passing heavy boxes labeled ""responsibility"" to multiple team leads with strained expressions."
13,imgs/1271_1.jpg,Journey,Longterm Purposeful Activity,We're just gathering supplies for the long expedition ahead.,"We're in the preparation phase of this long-term endeavor, collecting necessary resources and tools.",We can just step out the door and hit the road with empty pockets.,We can start this activity immediately without any preparation or planning.,Preparing for a challenging future endeavor or life journey.,"People, Supplies, Expedition path","Long, preparatory, future-oriented",People gathering items before a journey,A group of people packing backpacks while standing at the start of a winding mountain path disappearing into clouds.
14,imgs/1509_1.jpg,Contact With Physical Self,Effect On Emotional Self,The temple massage with her fingertips erased chapters of stress from her mind's story.,The gentle massage of her temples with her fingertips significantly reduced the accumulated stress and mental tension she had been experiencing.,The temple massage with her fingertips inscribed fresh chapters of stress into her mind's story.,The temple massage with her fingertips added layers of stress and tension to her mental state.,Relief from mental stress through physical touch.,"Temples, fingertips, book/chapters, mind","Erasing, relieving, soothing",Physical action of massage removing mental stress like erasing text,Fingers with erasers removing dark text from an open book shaped like a human head.
15,imgs/1472_0.jpg,Control Over An Entity Relative To A Location,Causation,They guided the economy toward recovery.,Their actions directly influenced the economic improvement.,They steered a phantom wheel while the economy drifted wherever currents took it.,Their actions had no effect on the economy's direction.,Economy is treated as a physical entity that can be steered or directed.,"Economy, Guide/Leader","Directional movement, Path-following",Leaders steering/guiding the economy upward,"Business people in suits steering a large ship labeled ""ECONOMY"" up a rising path through stormy waters."
16,imgs/42_1.jpg,Getting A Burden,Intoxication,The load of inebriation dragged him down with each step.,Being drunk made it difficult for him to walk and move normally.,"The spirits unburdened his every movement, lifting him into an effortless, floating grace.",The alcohol made his movements light and graceful.,Being drunk makes movement difficult and burdensome.,"Person, Weight/Load","Heavy, Dragging, Downward motion",The weight of drunkenness physically pulling the person down,"A stumbling man with heavy weights labeled ""alcohol"" chained to his ankles."
17,imgs/309_0.jpg,Money,Time,Her time portfolio was diversified across multiple activities.,She balanced her time effectively among various tasks and interests.,"She invested her entire time budget in a single stock, putting all her hours into one venture.",She focused all her time on a single activity without variety.,Time management is treated like financial investment strategy.,"Time, Portfolio, Activities","Diverse, Multiple, Organized",Distribution of time across different activities like financial assets,"A clock face divided into colorful pie chart segments, with each slice showing different daily activities."
18,imgs/906_0.jpg,Heat,Anger,Her fury radiated like a desert sun.,Her anger was obvious and intensely felt by everyone around her.,"Her presence radiated coolness like an oasis breeze, soothing all who came near.",Her presence was cool and refreshing to those nearby.,Intense anger spreading outward with scorching intensity.,"Woman's anger, Desert sun","Hot, intense, radiating, powerful",Anger is compared to sun's heat and intensity,"A woman's face glowing red-hot like a sun, with heat waves rippling outward across a desert landscape."
19,imgs/1712_3.jpg,Path Over Which Motion Occurs,Means Of Change,The bridge across troubled waters led to their transformation.,A structured approach helped them navigate difficult changes successfully.,"They stood before a collapsed bridge with no road forward, circling endlessly on an island of stagnation.",They remained stuck in their situation with no means of progress or change.,Overcoming difficulties leads to positive change.,"Bridge, Waters, Person","Troubled waters, transformative journey",Crossing from one state to another through difficulty,"A wooden bridge over dark stormy waters, transforming from grey planks to golden ones as it reaches the other side."
20,imgs/295_0.jpg,Shopping,Comparing And Seeking,The checkout counter of commitment awaits our final choices.,"After comparing options, we must ultimately make and commit to our decisions.","Our choices linger in an abandoned shopping cart, perpetually browsed but never purchased.",Decisions require no commitment and can be endlessly reconsidered.,Making final decisions about relationships is like making purchases at a store.,"Checkout counter, Relationship commitment","Finality, Decision-making, Transaction",Person facing a moment of commitment like a customer at checkout,A heart-shaped checkout counter with a nervous couple placing their relationship items while a clock looms above.
21,imgs/1417_0.jpg,Substance Directed At An Affected Party,Force,Their support was a balm that soothed her anxiety.,Their encouragement helped reduce her stress and worry.,Their criticism was corrosive acid that inflamed her anxiety and mental distress.,Their criticism intensified her anxiety and mental distress.,Emotional comfort and healing.,"Support, Balm, Anxiety","Soothing, Healing, Calming",Balm acts upon anxiety to reduce it,"A glowing healing balm being applied to a dark, jagged cloud labeled ""anxiety"" that gradually fades away."
22,imgs/1949_0.jpg,War,Competition,Their research and development was an arms race for innovation.,Companies competed intensely to develop new products and technologies first.,"Their research and development declared a permanent ceasefire, contentedly keeping their existing arsenal of products.",Companies were content with existing products and avoided innovation.,Intense competition and rapid advancement.,"Research and development, Arms race","Fast-paced, competitive, aggressive",Multiple parties racing against each other for superiority,Scientists in lab coats sprinting on a track while carrying missiles and blueprints.
23,imgs/690_0.jpg,Location (here),Existence,Here is the anchor of being.,The present moment is the fundamental point of our existence.,"Here is a drifting buoy, unmoored from the depths of being.",The present moment has no connection to our existence.,Stability and grounding in existence.,"Anchor, Being (existence)","Heavy, grounding, stabilizing",Anchor provides stability to existence/life,A glowing human silhouette tethered to a large anchor that's rooted in solid ground.
24,imgs/47_1.jpg,Getting A Burden,Intoxication,The burden of beer weighed down his eyelids.,The alcohol made him feel very sleepy and drowsy.,The burden of beer lifted his eyelids wide open.,The beer made him feel energetic and wide awake.,Extreme drowsiness caused by alcohol consumption.,"Eyelids, Beer","Heavy, Weighing down, Drooping",Beer causing heaviness in eyelids,"Heavy beer mugs hanging from drooping eyelids, pulling them downward like weights."
25,imgs/86_3.jpg,Possessions,Properties,Our possessions are the keys to property doors.,Personal belongings provide opportunities for property acquisition and development.,Our possessions are chains that lock us out of property gates.,Possessions block access to property opportunities and limit advancement.,Material possessions enable access to social status and opportunities.,"Keys, Doors, Possessions","Multiple keys, Various doors, Different sizes","Keys unlock doors, representing how possessions unlock opportunities",A golden key chain with various keys transforming into luxury items as they unlock glowing doorways.
26,imgs/1866_1.jpg,Self-propelled Motion,Self-initiated Change Of State,She ran herself into a better situation.,She actively created positive changes in her circumstances.,She idled herself into a worse situation.,She allowed circumstances to deteriorate without taking action.,Progress through effort and determination.,Person running,"Movement, progression, improvement",Moving from one state to another through physical action,"A woman running through a dark tunnel towards a bright, golden doorway ahead."
27,imgs/797_2.jpg,Plants,People,The young artist's talent needed pruning and guidance.,The young artist's talent needed refinement and mentorship to help them develop their skills in the right direction.,"The young artist's talent had already bloomed to perfection, requiring no cultivation or shaping to reach its full flowering.",The young artist's talent was already perfectly developed and required no refinement or direction.,Raw talent requires careful cultivation and direction to reach its full potential.,"Young artist, Plant/Tree","Unrefined, Growing, Wild",Needs shaping and direction like a growing plant needs pruning,A wild sapling with paintbrushes as branches being carefully trimmed by garden shears.
28,imgs/761_2.jpg,Lacking A Needed Possession,Harm,Her missing pieces became poisoned arrows.,The things she lacked in life caused her pain and suffering.,Her abundant pieces became soothing balm.,Everything she possessed brought her joy and comfort.,Personal traumas or deficiencies have become weapons that harm others.,"Missing pieces (emotional/psychological voids), Arrows","Poisoned, harmful, weaponized",Transformation of emotional wounds into harmful actions,A silhouette of a woman with puzzle-piece holes shooting toxic green arrows from the empty spaces.
29,imgs/1117_3.jpg,Up,Control,Their dominion rocketed skyward.,Their control expanded rapidly and dramatically.,Their dominion plummeted into the abyss and vanished.,Their dominion collapsed and disappeared entirely.,Rapid rise to power and success.,"Dominion (power/control), Rocket","Upward movement, Explosive growth, Speed",Power ascending rapidly like a rocket launch,A crown attached to a rocket soaring upward through clouds with flames trailing behind.
30,imgs/166_3.jpg,"Touching, Eyes Are Limbs",Seeing,Her eyes embraced the entire scene.,She took in and comprehended the whole scene at once.,Her eyes could only grope at fragments of the scene.,She could only process small parts of the scene at a time.,Taking in everything visually with care and attention.,"Eyes, Scene","Embracing, Encompassing, Caring",Eyes actively wrapping around or holding the scene,"Two large eyes with arms extending outward, gently wrapping around a landscape scene."
31,imgs/1919_0.jpg,Open Paths,Opportunities,Each crossroad is a gateway to new adventures.,Decision points in life present opportunities for new experiences and growth.,Each crossroad is a funnel channeling us into narrower confines.,Choices and decisions only limit our potential for new experiences.,Life choices lead to opportunities and possibilities.,"Crossroad, Gateway","Multiple paths, Portal-like opening",Crossroad transforms into magical gateway,"A glowing archway emerging from an intersection, with different magical landscapes visible through each path."
32,imgs/266_2.jpg,Guides,Beliefs,Our beliefs are the signposts at life's crossroads.,Our beliefs help us make important decisions when we face critical choice points in life.,"Our beliefs are blank signposts at life's crossroads, leaving us to wander without direction.",Our beliefs provide no guidance when we face important decisions in life.,Beliefs guide our life decisions and choices.,"Signposts, Crossroads","Directional, Multiple paths, Guidance",Beliefs acting as guides at decision points,"A weathered wooden signpost at a misty crossroads, with life choices written on directional arrows."
33,imgs/1248_2.jpg,Fluid,Light,The street lamps' glow pooled beneath each post.,The light from street lamps created circular illuminated areas on the ground.,"The street lamps' glow crystallized into sharp, angular shards beneath each post.","The street lamps cast sharp, angular shadows without any diffusion.",Light spreads and collects like liquid on the ground.,"Street lamps, Light, Ground","Liquid-like, Circular, Glowing",Light flowing downward and collecting like water,Circular pools of golden light beneath lamp posts forming luminous puddles on dark pavement.
34,imgs/134_2.jpg,Commercial Transaction,Causation,Good habits are deposits in the bank of success.,Maintaining good habits leads to achieving success over time.,"Good habits are expired coupons at a closed register—presented but never processed, offering no discount on the price of success.",Good habits have no connection to achieving success.,Good habits accumulate over time to build future success.,"Bank, Habits, Success","Accumulating, Growing, Valuable","Habits being stored like money in a bank, building up over time","A piggy bank labeled ""SUCCESS"" with glowing good habits as gold coins being deposited inside."
35,imgs/1008_2.jpg,Substance,Laughter,Their laughter catalyzed a chain reaction of joy.,Their laughter triggered widespread happiness among others.,"Their laughter acted as an inhibitor, quenching any potential reaction of joy in others.",Their laughter inhibited others from experiencing joy.,Happiness spreading rapidly from person to person.,"Laughter, Chemical reaction","Spreading, Infectious, Cascading",One person's laughter triggers others to laugh,"A line of dominoes shaped like smiling faces, each falling and lighting up with yellow glow."
36,imgs/1356_3.jpg,Having A Form,Existence,Being paints itself on the canvas of space.,Existence manifests itself in physical dimensions and locations.,"Being dissolves before the canvas, refusing to crystallize into spatial form.",Being exists without spatial dimension or location.,Existence manifests itself throughout the universe.,"Being (existence), Canvas, Space","Abstract, Expansive, Creative",Being actively creates/manifests itself across space,A cosmic canvas with swirling galaxies forming the shape of a human figure.
37,imgs/842_1.jpg,Batteries,People,"She's like a battery in power-saving mode, conserving her energy for important moments.","She carefully manages her energy and resources, using them only when necessary.","She's like a battery stuck on maximum performance mode, constantly draining at full capacity with every feature running simultaneously.",She wastes her energy constantly without any regard for conservation or future needs.,Carefully managing limited energy resources.,"Person, Battery","Low power, Conservation mode, Limited energy",Person being compared to a battery's power management system,A human figure with a battery icon showing 20% charge and a dimmed glow around their body.
38,imgs/913_1.jpg,Moving To A Location (here),Creating,The design journeyed into existence.,The design was gradually created and completed.,"The design remained stranded in the abstract, never arriving at reality.",The design failed to materialize and remained conceptual.,Creation is a gradual process of movement and transformation.,"Design, Journey/Path","Movement, Transformation, Emergence",Design moving through space towards materialization,A glowing sketch morphing into a solid 3D object while floating along a winding path.
39,imgs/1322_2.jpg,Comparison Of Possessions (non-evaluative),Comparison Of Properties,Their shared qualities are traded like valuable commodities.,"People exchange and share their characteristics through social interaction, similar to how possessions are traded.","Their qualities are hoarded possessions locked in separate vaults, immune to any exchange or circulation.","Their qualities remain isolated and unchangeable, never influenced by social exchange.",Personal traits are treated as precious items that can be exchanged.,"Personal qualities, Commodities","Valuable, Tradeable, Exchangeable",Trading/exchanging between people,Two people exchanging glowing orbs with personality traits written on them like stock market items.
40,imgs/1111_1.jpg,Up,Control,She elevated her position of power.,She increased her control and authority over the situation.,She plummeted into the depths of powerlessness.,She lost her influence and became powerless.,Rising to a higher status or authority level.,"Person (woman), Position/Status","Upward movement, Height as power",Moving upward in hierarchical structure,A woman climbing a corporate ladder that transforms into a throne at the top.
41,imgs/335_0.jpg,Machine,Mind,The mind's operating system needs occasional rebooting through sleep.,The brain requires regular rest through sleep to function properly.,"The mind is a perpetual motion machine, running indefinitely without requiring any downtime or maintenance cycles.",The mind can function continuously without any need for rest or recovery.,"The mind needs rest to function properly, like a computer needs rebooting.","Mind, Computer Operating System","Tired, Needs refreshing, Requires restart",Sleep acts as a reboot function for the mind,"A human head with a computer screen interface displaying a ""Sleep Mode"" button and loading bar."
42,imgs/546_2.jpg,Competition For Desired Objects,Competition,The last contract is a bone that every dog in town is fighting for.,The final contract is a highly sought-after opportunity that all the competing businesses in the area are aggressively pursuing.,The last contract is a rotten carcass that every dog in town turns their nose up at and walks away from.,The last contract is an undesirable opportunity that no businesses in town are interested in pursuing.,Fierce competition over a scarce resource.,"Contract, Bone, Dogs","Valuable, Desirable, Limited",Multiple competitors aggressively fighting over one item,A glowing business contract shaped like a bone surrounded by snarling dogs in business suits.
43,imgs/1338_3.jpg,Solving A Puzzle,Conducting Research,Each researcher adds their pieces to the collective knowledge puzzle.,Individual research contributions build upon existing knowledge to expand understanding.,"Each researcher hoards mismatched puzzle pieces in isolated boxes, never connecting them to form any larger picture.",Research exists in isolation and doesn't contribute to broader scientific knowledge.,Scientific knowledge is built collaboratively like assembling a puzzle.,"Researchers, Puzzle pieces, Complete puzzle","Fragmentary, Interconnected, Collaborative","Adding pieces, Building together, Forming a whole","Multiple hands placing glowing puzzle pieces into a large, partially completed puzzle map of human knowledge."
44,imgs/1426_2.jpg,Lowering,Harming,Her hopes subsided into the depths of despair.,Her hopes were severely damaged by circumstances.,Her hopes soared to the heights of triumph.,Her hopes rose triumphantly above all obstacles.,Declining from optimism to deep sadness.,"Hopes, Depths/Ocean","Sinking, Deep, Dark",Movement downward into darkness,"A bright balloon labeled ""hope"" sinking into dark ocean waters, its light dimming as it descends."
45,imgs/1449_0.jpg,Heat,Lust,The temperature between them reached fever pitch.,Their mutual sexual attraction reached an extremely intense level.,"The temperature between them remained at absolute zero, a frigid professional distance that never thawed.",Their interaction remained completely cold and professional.,Extreme tension or conflict between two people.,"Temperature, People","Hot, Intense, Rising",Conflict between two individuals reaching dangerous levels,Two angry faces separated by a rising thermometer that's cracking from intense heat.
46,imgs/1410_0.jpg,Substance Directed At An Affected Party,Force,The poison of his words seeped into her resolve.,His harsh criticism gradually weakened her confidence and determination.,The tonic of his encouragement infused her resolve with renewed strength.,His encouraging words strengthened her resolve and boosted her confidence.,Harmful words gradually destroying someone's determination.,"Words, Poison, Resolve","Toxic, Destructive, Seeping","Words acting as poison, gradually weakening resolve",A dark liquid dripping from speech bubbles onto a crumbling stone fortress representing resolve.
47,imgs/792_3.jpg,Plants,People,That community's roots run deep in the city's history.,That community has been an integral and long-standing part of the city's history.,That community is a recent transplant with shallow roots barely breaking the city's soil.,That community has only recently arrived and has little connection to the city's history.,Long-established and firmly connected to the city's past.,"Community, City, Roots","Deep, Historical, Established",Community connected to city through root-like structures,A cityscape growing from massive tree roots that extend deep into layers of historical artifacts and soil.
48,imgs/18_0.jpg,Liquid,Money,The financial crisis created a tsunami of debt.,The economic downturn caused overwhelming levels of debt across the system.,The financial crisis produced merely a light mist of debt that quickly evaporated.,The financial crisis had minimal impact on debt levels.,Overwhelming and destructive force of financial problems.,"Financial crisis, Tsunami, Debt","Massive, destructive, overwhelming",Crisis causing devastating wave of debt,A giant wave made of dollar bills and credit cards crashing down on a city skyline.
49,imgs/1243_0.jpg,Fluid,Light,Light cascaded down the crystal chandelier.,Light reflected and scattered downward through the chandelier's crystals.,Light pooled and stagnated within the crystal chandelier.,Light remained trapped within the crystal chandelier.,Light flows like water in a waterfall.,"Light, Crystal chandelier","Flowing, sparkling, downward movement",Light moving through crystal pieces like water,A chandelier with light beams flowing downward like a waterfall through crystal prisms.
50,imgs/67_1.jpg,Moving Object,Schedule,Our deadlines are spinning like a top.,The schedule is in a state of chaos and confusion.,Our deadlines are moving along like trains on a fixed track.,Our deadlines are stable and perfectly organized.,Chaotic and out of control.,"Deadlines, Spinning top","Rotating, Fast-moving, Unstable","Multiple deadlines moving in a chaotic, spinning motion",Calendar pages whirling around a spinning top with deadline dates flying off in all directions.
51,imgs/1935_0.jpg,Possession,Loved One,She's the inherited heirloom I'll cherish forever.,Our relationship is a precious gift that I will value permanently.,She's a short-term rental I'll return when the lease expires.,Our relationship is temporary and disposable.,Precious and irreplaceable person to be treasured.,"Person, Heirloom","Precious, Inherited, Timeless",Being cherished and preserved,A woman's silhouette inside an antique locket with golden rays emanating outward.
52,imgs/1303_1.jpg,Giving An Object,Creating,The composer offered melodies to the silence.,The composer created music where there was none before.,"The composer withheld every melody, returning only emptiness to the waiting silence.",The composer maintained the silence without adding any music.,Creation emerging from nothingness.,"Composer, melodies, silence","Musical notes, empty space",Offering/giving from creator to void,Musical notes floating from a composer's hands into a dark empty space.
53,imgs/1445_3.jpg,Heat,Lust,Their passion boiled over in an instant.,Their sexual tension suddenly became impossible to contain.,"Their interaction remained at room temperature, never warming beyond comfortable propriety.",Their interaction remained completely platonic and controlled.,"Sudden, uncontrollable emotional outburst.","Passion, Boiling liquid","Hot, explosive, uncontained","Rapid overflow, sudden eruption",A red pot violently overflowing with hearts and steam erupting from its sides.
54,imgs/408_3.jpg,Entities Inside A Person,Abilities,Her inner orchestra conducts her diverse talents.,Her internal coordination harmoniously manages her various abilities.,Her warring inner voices shatter her talents into chaos.,Her chaotic internal state creates discord among her abilities.,Harmonious coordination of multiple skills and abilities.,"Orchestra, Conductor, Talents","Internal, Diverse, Musical, Harmonious",The orchestra (representing internal drive) conducts (coordinates) multiple talents,A woman's silhouette containing an orchestra conductor leading musical instruments that transform into various colorful skills.
55,imgs/726_1.jpg,Being On The Mind,Receiving Serious Thought,Their proposal is weighing heavily on my mental scales.,I'm carefully evaluating and considering their proposal.,Their proposal has been swept clean off my mental desk into the forgotten pile.,I'm completely ignoring and avoiding their proposal.,Difficult decision-making process causing mental burden.,"Mental scales, Proposal","Heavy, Weighing, Mental burden",Proposal creating pressure on decision-making ability,"A human head with balance scales inside, one side heavily weighed down by a stack of papers."
56,imgs/17_0.jpg,Liquid,Money,Fresh capital irrigated the startup ecosystem.,New investment money helped sustain and grow multiple startup businesses.,A capital drought left the startup ecosystem parched and withering.,The lack of capital left the startup ecosystem barren.,Money flowing into and nurturing business growth.,Capital (money) and startup ecosystem,"Fresh, flowing, life-giving",Money acts as water nurturing plants/ecosystem,Dollar bills flowing like water through sprinklers onto growing startup seedlings in a garden.
57,imgs/179_0.jpg,Being In A Harmful Location,Harm,She's surrounded by poisonous words.,She's in an environment where harmful communication is causing damage.,She's surrounded by an oasis of healing words.,She's surrounded by healing and uplifting communication.,Harmful and toxic verbal abuse.,"Person, Words","Poisonous, Surrounding, Harmful",Words encircling and threatening the person,A woman encircled by floating green letters dripping with toxic venom.
58,imgs/522_2.jpg,Nausea,Disgust,His words were a nauseating pill of disgust.,His speech was so repulsive it caused a physical reaction of revulsion.,"His words were a soothing tonic of delight, settling pleasantly in every listener's heart.",His words were pleasant and brought comfort to all who heard them.,Words that are unpleasant and sickening to hear.,"Words, Pills","Nauseating, Disgusting",Words being compared to sickening medicine,A green pill dissolving into toxic bubbles with letter shapes floating out making a person gag.
59,imgs/821_0.jpg,Race,Competition,The finish line beckons all competitors forward.,The goal of winning motivates all participants to give their best effort.,"Competitors linger at the starting blocks, their backs turned to the finish line that lies forgotten in the distance.",Competitors have no interest in reaching their goals or achieving success.,The goal attracts and motivates people to pursue it.,"Finish line, Competitors","Magnetic, Attractive, Drawing power",Pulling force between finish line and competitors,A glowing finish line with magnetic waves pulling multiple runners toward it.
60,imgs/1140_2.jpg,Machines,People,Her mind was running on low battery.,She was feeling mentally exhausted and needed rest to recover her energy.,Her mind was fully charged and firing on all cylinders.,Her mind was fully energized and operating at peak performance.,Mental exhaustion and lack of energy.,"Mind, Battery","Low power, Depleted, Tired",Mind is compared to an electronic device running out of power,A human head with a transparent battery icon showing red 5% charge and flickering power symbols.
61,imgs/488_1.jpg,Changer,Time,Time is the silent revolutionist.,Time quietly but dramatically transforms everything it touches.,"Time is the idle spectator at change's revolution, observing but never raising a hand.",Time is a passive observer that never initiates change.,Time brings about profound changes without making noise.,"Time, Revolutionist","Silent, Transformative, Powerful",Time acts as a force that creates change without being noticed,A hooded figure with a clock face silently turning old buildings into new ones with a wave of its hand.
62,imgs/1623_3.jpg,Areas,Subjects,Literature is a fertile valley where ideas grow abundantly.,Literature is a rich subject that nurtures numerous interpretations and insights.,Literature is an arid wasteland where no meaningful ideas take root.,Literature is a barren field devoid of meaningful ideas or interpretations.,Literature nurtures and produces many creative thoughts and concepts.,"Literature, Valley, Ideas","Fertile, Abundant growth",Ideas growing like plants in a valley,"A lush green valley filled with books sprouting from the soil like plants, with glowing lightbulbs blooming as flowers."
63,imgs/1221_3.jpg,Possessions,Responsibilities,Each new possession is another key to maintain in life's growing keychain.,Every additional responsibility requires attention and management in our lives.,"Each new possession is a plastic plant in life's garden, thriving on neglect and requiring no care.",New responsibilities require no maintenance and can be completely ignored.,Material possessions are burdens that accumulate and weigh us down.,"Keys, Keychain, Possessions","Growing, Heavy, Burdensome",Each possession adds weight and complexity to life,A person struggling to carry an oversized keychain with various objects dangling as keys instead of actual keys.
64,imgs/683_2.jpg,Injuries,Effects Of Humor,Laughter was their first aid kit in times of crisis.,Humor served as an immediate coping mechanism during difficult situations.,Laughter was salt rubbed into their wounds during times of crisis.,Laughter only made crisis situations worse and more unbearable.,Laughter serves as emotional healing during difficult times.,"First aid kit, Laughter","Healing, Therapeutic, Emergency relief",Laughter acts as a healing tool during crisis,A red first aid kit with laughing emojis bursting out instead of medical supplies.
65,imgs/915_2.jpg,Moving To A Location (here),Creating,The project has touched down.,The project has been successfully created and completed.,"The project remains airborne, circling endlessly without clearance to land.",The project remains in planning stages and incomplete.,Successfully completed or landed safely.,"Project, Airplane","Landing, Completion, Safe arrival","Movement from air to ground, reaching destination","A paper airplane with ""PROJECT"" written on it smoothly landing on a runway with a checkmark flag."
66,imgs/1014_0.jpg,Holding,Possessing,She embraces power with both arms.,She fully accepts and maintains her position of authority.,"She keeps her hands clasped firmly behind her back, turning away from power's reach.",She shuns and rejects any form of authority.,Eagerly and completely accepting or seizing control and authority.,"Woman, Power (abstract concept)","Embracing, Holding tight, Both arms",Physical action of embracing applied to abstract concept of power,A woman tightly hugging a glowing lightning bolt that radiates energy through her arms.
