,Unnamed: 0,image,claim,label,image_hash
53,53,942-4.png,Airports are not profiting from passenger fees.,contradiction,080ad7712b2cd631fba306c636144ca6
54,54,1031-2.png,Life finds new ways to emerge after death,entailment,15712d1f4d750d0980f5f53fa98d7ee3
55,55,607.png,walking encyclopedia,entailment,dd3baab15751b224cc61c94ba81db70d
56,56,668-1.png,The harsh criticism of his work made him ecstatic.,contradiction,d48e004dc046305c3662169460f6b4f4
57,57,827-4.png,The man had finally overcome his feelings about the situation.,contradiction,d8bf49e13254cc2f6beec0dd066a3974
58,58,346.png,home was prison,contradiction,7067e819f5f2eaa459eec731a72a93ca
59,59,626-1.png,The world turned blue,contradiction,d7a9619fe0993a8004fd05e4b2f5fa40
60,60,187.png,he is a cheetah,entailment,7a1d1b684e21287c729ce1b5db598c71
61,61,196.png,he is a cheetah,contradiction,57dcecbd083e1896b3104cb62624a116
62,62,46-1.png,He did not work hard,entailment,a8f43ce4670abfd6f28b00051078a847
63,63,569-1.png,The stock marker went down like a plane in free-fall.,contradiction,e76eb4034e8dc02954f154f63c85f544
64,64,202.png,he is a fox,contradiction,10732c0e70024d13c6ff70ee252f7600
65,65,749-2.png,He felt weak and flimsy,contradiction,7af412ef3fb5b012c15640b236e006c2
66,66,738-3.png,"Eventually, trying to make sense of the situation becomes easier.",contradiction,dc691b57aeee3e2b4fd0d12c0e63b13c
67,67,521-2.png,Their dinner started off with a stronger drink of cognac.,contradiction,c4c9f65797f7af1c95e6d9b65401c5eb
68,68,533-1.png,"Even though you decline, the man is still persistent.",entailment,8cee5158b7fae58dab20a149dabbfade
69,69,175.png,he drives a tank,entailment,1a78f3b13d27a74cc27b41134d95e62a
70,70,283.png,heart of gold,contradiction,9ca6a28769d3f42ae7cf17d7d83a2381
71,71,136.png,blanket of snow,contradiction,1aea2ef2138d30052a4a1170cf6c1811
72,72,193.png,he is a cheetah,entailment,153aeafe9584e886cd2afbc64718b3b7
73,73,914-4.png,His head was bright under the moon.,entailment,0f5e471bbf966ba88dce3c1c89bc539a
74,74,684-1.png,Words are harmless.,contradiction,b0b74dc124dcb1f56c475767f7fdee29
75,75,312.png,heart sank,contradiction,5cb806b0d157c1b58aaac83c0b484aa7
76,76,771-1.png,the play was boring,entailment,453253bc3a294076ac6bc1eb539f6ade
77,77,911-2.png,he felt a mild discouragement,contradiction,eae342209a669404bde5cba1bc119298
78,78,remaining-1028.png,The protagonist Trinity Pierce has a very clear and transparent history.,contradiction,72ed30abd6ea9a56fdbbac3fc50d0ba3
79,79,609-4.png,"Her eyes were huge and her mouth was open as she saw me looking at it, and she smirked.",entailment,a35dbb0ee5c3be27f0649778286a8881
80,80,23.png,a mighty lion,entailment,76a0ea4cf7c9b4d91cbe7aee3a46c2b6
81,81,523-3.png,My brain is strudy after the bottle of champagne.,entailment,0ba5e1c62943092b16fff717904bd8f1
82,82,642-2.png,You are starting to get suspicious about everyone around you being a robot subtly testing you.,entailment,d6bb53417372021102c579ab1c7fa2bc
83,83,77.png,an angel,entailment,7a0b0b3128be11f31ec5a0d31c74f63a
84,84,151-1.png,Monty was a rich person and felt like he was in a luxurious paradise.,entailment,d38f0bfd57ec714a77b796fefe3b27ad
85,85,581.png,their relationship is a house on fire,entailment,069203df7a7cb64ffc5e96d620a7a9a4
86,86,349.png,home was prison,entailment,f2ef938d15418fad390af347cc32b098
87,87,971-3.png,She was unable to have sharp focus.,entailment,f8baa4de9f7e37d05b6b6c28584d6946
88,88,789-1.png,"I'm guessing you aren't the only student who finds the tutor hot, but you may be the only one where the feeling is mutual.",entailment,4a0e5a09180b9d5dd214d6adbc044095
89,89,495.png,she is a ray of sunshine,entailment,cae72fe178cc94e53192a5fafdd43dd7
90,90,15.png,a mighty lion,entailment,0c89f5b0310c3e6db8a9b9712f7e525a
91,91,482.png,sea of umbrellas,contradiction,fda11cd7624774b0f2aaba1ebf732b83
92,92,481.png,sea of umbrellas,entailment,0157aa64c21008a5427005082bc90a6c
93,93,31-1.png,Joe is a slow person.,entailment,ed67f2a83bf62b8311f0cc1da69de5f3
94,94,344-2.png,Jack nodded slowly,contradiction,b0d6a266b0b90ea2f46735f4c55a9cca
95,95,52.png,a night owl,contradiction,e5f7ad6ba29779ad4090304e93b8e57d
96,96,468-1.png,She was nervous,entailment,e8a8dc699d1c43a25c9b4c32c9ffab46
97,97,807-1.png,The spy was very loud and conspicuous,entailment,dd3b5ed07b1638f9ababaa678e6724ad
98,98,412.png,jungle city,contradiction,9d460fbb7cf5ef33a2bcd0f6e7c536b7
99,99,remaining-1058.png,Android phones have been forgotten.,contradiction,3b11135f0f19f04d9ccd2684f0301f3d
100,100,433-4.png,The flower bends to and fro in the wind.,entailment,c9b2c9a43275faacbc68e3039d72a909
101,101,598.png,walking encyclopedia,contradiction,4741a2bf2a9c60849c32ddde79c12d53
102,102,500.png,she is a ray of sunshine,contradiction,2ec670fed02b7f37021f04b8426ec022
103,103,185-4.png,The overhead light buzzed soothingly.,contradiction,494c098d0007ab1e29e7bf7a0d5b0c1c
104,104,714-3.png,We could painfully feel each blade of grass because we were barefooted.,entailment,2e97fc75ad3c0faee1aa67c6c25bbeb1
105,105,613.png,walking encyclopedia,entailment,10732c0e70024d13c6ff70ee252f7600
106,106,remaining-1007.png,My computer screen is off.,entailment,27c3d1764be9ef663e1450f1a753d430
107,107,823-4.png,Death is going further away from the door.,contradiction,468563165966520202817b5e0a5c9ab0
108,108,234-1.png,"Even though it is not blood, the truth is even more horrid.",entailment,b6cec4099c24022526c3ceee5781b5f2
109,109,117.png,blanket of flowers,entailment,fcfcf7b84460a48842410be4eb13dd03
110,110,640-1.png,"It came running, hard and reckless.",contradiction,474202a59334369b860773ecdee84dde
111,111,923-4.png,There was an economic recess.,entailment,e3812d9ebb8cf7f53647dd52db043c33
112,112,323-1.png,"Julia was an small pizza with welcoming toppings, and frankly, I was too hungry.",contradiction,6346d9795a4bcfb29712cdc9d9defcb4
113,113,161-1.png,The predators never expected their prey to be this indestructible.,entailment,af6659f226e5a50ed0e73ba3fa39e1d8
114,114,282.png,heart of gold,entailment,b4d22405d4050ca953b1796a77804c60
115,115,599-1.png,He was relaxed,contradiction,acdf0ac5cde57e81cbc87f3c145b0ed6
116,116,606.png,walking encyclopedia,contradiction,c870ddbb8b5cb5595306f94ea917466d
117,117,799-3.png,The woman had a really dull personality.,entailment,4747e485e86aef5f9bda88ed7a383923
118,118,679-1.png,He was lanky and thin,entailment,f8cc8e7248cb4e8d34fa5cf0e6dabcca
119,119,293-2.png,The new measures resulted in deflation in the economy.,contradiction,c53381c1e642e1e3be82a769f23d2183
120,120,125.png,blanket of snow,entailment,08dafd8dcd9f54b25593eb498337d56d
121,121,remaining-1041.png,Do not spend all your money.,entailment,a5f6302f8ca51fb07c8d265434c59857
122,122,650-1.png,He did not apply fertilizer over the lawn.,contradiction,ca1ef25f786ac202f0021623ba4a3ec6
123,123,367.png,homework is a breeze,entailment,b429486aee0f9fd5c3d4b3382dcab5ec
124,124,715-2.png,The book glowed black.,contradiction,5150f03ab93852c1d73cfa4fd1b203d7
125,125,303-3.png,He is in such a hurry that he runs extremely fast.,entailment,d928aa52f3fe40ad8a853fdd3546a92a
126,126,340.png,home was prison,contradiction,e4b593a51a6e72f5c4730466949e770f
127,127,652-4.png,My soul was an uncharted continent and she was the explorer.,contradiction,e663648d5811f02cd18e3e4f0c948b62
128,128,342.png,home was prison,contradiction,638479de9a2db2b5d1509468970095cc
129,129,357.png,home was prison,entailment,f41c5b29d36cd3f00938cd40683816d8
130,130,309.png,heart of stone,entailment,0b0177123a207be02238527c428370e0
131,131,207-3.png,She looked so vulnerable .,entailment,227574f091c55d52ccfc0de5a5bf1368
132,132,294.png,heart of gold,entailment,0b50856ff7ec4f5ae6d92b99c035b3ef
133,133,remaining-938.png,The person is very unlucky.,contradiction,b895548a99352154cf5d6186c1fb961d
134,134,908-3.png,Adam did not understand the reasons of the crisis,entailment,523828a6430f825d88dbb37c1b9f2ce3
135,135,157-2.png,Krishna gets up very early in the morning.,entailment,2886f394a838db7b6042d5004f84fbe2
136,136,537.png,she was a busy bee,entailment,72984040c9491ee07a2e677c63bb0fff
137,137,550.png,she was a sly cat,contradiction,4719c3f4e057c83113103039477d947e
138,138,33.png,a night owl,entailment,7985030fc843c191444dbbc706490b75
139,139,155-1.png,And now they were hiding all kinds of documents.,contradiction,a399f4a1bbba85d6394c7752f63b5406
140,140,364.png,homework is a breeze,contradiction,53b596a42f979097a56fa7d0ece4b9f5
141,141,844-1.png,The guy looked fat and large while floating in the small swimming pool.,entailment,d919d382f0c443aab8cabe2244ec01d8
142,142,316-4.png,The sky drained of rosy splendor.,contradiction,bbc5cb07d40ce4ebc300d4bb353c3c8a
143,143,208.png,he is a fox,contradiction,814ce96c29d32ae968e29e0570dcd65c
144,144,remaining-997.png,The future is likely not going as expected.,entailment,968fafe895f6d90b809ff6cce50e3961
145,145,190.png,he is a cheetah,contradiction,3d1c98957ecd9d8443229ffe25ff623e
146,146,431-4.png,Sariel was built lean,entailment,85cc3f8f6bab601483d0af528e4ad5f5
147,147,277-2.png,"Even though she was much older, her unattractiveness repelled him.",contradiction,6caa0516c052cccd26a60e60a67f244e
148,148,369.png,homework is a breeze,entailment,83ad75fad1bbb0fc42fe5a0339f42d37
149,149,73.png,an angel,entailment,0707b86d29474b3126082287db6030ae
150,150,540-2.png,the dog is heavy,entailment,db4cdaf02dfa9a3f93b29054c80ed357
151,151,834-1.png,As the clouds are scattered from the skies.,entailment,2ef08ad69e3a114eb0119f0398012ca6
152,152,433.png,light of my life,entailment,6a7692d04a43ef085ac4bd24d39843d6
153,153,287.png,heart of gold,contradiction,a3d4de892a1b236fd22e78b04e58df35
154,154,794-2.png,"Looking at the night sky, the stars are pretty dim.",contradiction,983ebb82bcd95b7a42c65b5f7f508442
155,155,192.png,he is a cheetah,contradiction,8cc994c8f20d31f81a7c70d9f76cdbf5
156,156,333-1.png,Your breakthrough in AI just made our species more relevant than ever.,contradiction,27723a60a96c11befc0a9704bd7f763d
157,157,674-3.png,"My golden toned skin welcomed the heat, and it spread across my body rapidly.",entailment,5db98ed7c0443e15d25fb2b2b7e589a5
158,158,121.png,blanket of snow,entailment,e05c1482ccf35e5ac61825f673aa9f1a
159,159,402.png,jungle city,contradiction,80d12d06588a9ecc2c4681394fc7fa8e
160,160,552-4.png,The sudden boom in the market is mostly due to these operations .,contradiction,60943313c1491196170c2e4568f13345
161,161,516-1.png,The place was dark and dirty .,entailment,f94f62413da8e1c31a813ed45599a172
162,162,6-2.png,My alarm woke me up in the morning.,entailment,6f1c1f5fe6774cf315195d9a59d5a3be
163,163,271-1.png,He fought hard,contradiction,bd61a8aa58d08fcf9d31c52d3aecfa73
164,164,119.png,blanket of flowers,entailment,d8138a80fd73f79317e0d1bbfcf8df4f
165,165,594.png,their relationship is a house on fire,contradiction,ccd1e82afa0f20e8794ed724ce11b3a1
166,166,353.png,home was prison,entailment,9d4950f728287f69dadff4928df2dbd3
167,167,189.png,he is a cheetah,entailment,23d9a7631e2e0046e8afc92397af3e31
168,168,257-4.png,She devalued his novels.,contradiction,ecf2bb0b96a449941e8d406b3ebbd78d
169,169,285.png,heart of gold,contradiction,85c623ff49b1e2c28e9f6bdd91e226f3
170,170,561-3.png,A weather vane under the building.,contradiction,233d9fbfccf3c2508fb2f182b448edf7
171,171,138-3.png,People think the old man has a warm cheerful temper.,contradiction,4b794d9ea436f6b76f74d70cc5750a8d
172,172,66-2.png,You just started staring off into space and smiling innocenty,contradiction,2fff410893839e76e7bf13fc6fd4368f
173,173,201.png,he is a fox,entailment,9e9b0aa16a49ef73336b8fb28ca20861
174,174,203.png,he is a fox,entailment,dfe8dc8d4e6dff5bd3e03d2e9c24af37
175,175,729-1.png,Vietnam was barely a blip on his radar.,contradiction,23ce0e88d25061f7ce7c4a90a2699890
176,176,122-2.png,Pausanius was tied up and brooding right next to her.,entailment,26ad0dde898d52de3daa62ef34cc9a31
177,177,498.png,she is a ray of sunshine,contradiction,32aba43c1d718d495b4e208ea6d1b1ee
178,178,381.png,homework is a breeze,entailment,454e803532eac1e4a2641c79d7a1888c
179,179,708-4.png,A break up can fill you with enthusiasm and energy that can lead to a new and exciting relationship.,contradiction,205cdbe6841d63edc456b2d259c28f58
180,180,56-1.png,The employee does not show his anger and continues as usual.,entailment,e252d9720daf42d3eb89738d2dcd3a3f
181,181,583.png,their relationship is a house on fire,entailment,a3d4de892a1b236fd22e78b04e58df35
182,182,478-1.png,She did not capture attention of all the men.,contradiction,1fa709e7789c1a24463e9a0946a208ce
183,183,61-1.png,Her body became rigid.,contradiction,bbb6edefb919a3bfe0d589b2b3644b22
184,184,720-1.png,My eyes got so dry I feel like my face turned into red.,contradiction,7e8a1ff42209cfa85ac6878f4a71ac36
185,185,138.png,blanket of snow,contradiction,571a9e02288914af7d4acaf6f85b9e45
186,186,207.png,he is a fox,entailment,05942518207cfa2baf4d972482195c5d
187,187,559-2.png,The courtyard goes dark and hidden,contradiction,1b09b31058a1fb56fff1620caf7dcc46
188,188,249-2.png,I was very unlucky in my life.,entailment,b269400ecd742e5016a924ce0e1c54f8
189,189,193-1.png,"Percy, on the other hand, looked quite comfortable.",contradiction,62e5eecd619a5e453a86fde0af632f8d
190,190,349-2.png,Your guardian angel is a little too apathetic.,contradiction,2610f05d3bc605c8a31aa6df39d6cd19
191,191,173.png,he drives a tank,entailment,25ef590a95cce85c3f7157784a2f1805
192,192,181.png,he is a cheetah,entailment,dbc207b9ab0deba37d22c2be07b63f62
193,193,260-1.png,The faculty meeting was peaceful.,contradiction,ff576fc5580af0b458984de6d8fb3ef7
194,194,283-3.png,The mountain was covered with snow.,entailment,d15d258883e49994820693734564ea8d
195,195,388-3.png,The charges were exaggerated.,entailment,ad66e7ea10e49984ff5c22326b5457c1
196,196,458-1.png,To provide the best education possible for our children we are putting money into it.,entailment,bd3f08bb60c8778bfec2a6a8b7600229
197,197,328.png,heart sank,contradiction,271e0a7f4983e71da321fdca0badc083
198,198,11.png,a lion on the battlefield,contradiction,239b55086a1a1d2ffeb58eb9b8d8e1d9
199,199,558.png,she was a sly cat,contradiction,60014f6c2addac4395484f99d192b4b4
200,200,557-4.png,The father shook him with his hand.,contradiction,33f2089d91365d187adb67abca54094f
201,201,571-1.png,She did not show a lot of efforts of pulling against the wall with her all strengths.,contradiction,72c7329c968763673233d4f34d87212e
202,202,1032-2.png,Life stands still after people die,contradiction,15712d1f4d750d0980f5f53fa98d7ee3
203,203,751-3.png,"The character knows their universe is fictional, everyone thinks they are sane for believing it.",contradiction,b0ae978a524a750c6830795ffb35a022
204,204,527.png,she was a busy bee,entailment,e053b9a71d24f5535d48920d63a561c4
205,205,964-2.png,US emissions will increase resulting in negative consequences.,contradiction,97f130e5c14c4a50bff350014ce76792
206,206,667-1.png,After a few weeks he’s starting to feel a little lonely,entailment,d5db3ea3e1d9df16cbae137303169cdb
207,207,40-1.png,David is a despicable person for what he did to Shelia.,entailment,8a4cc0c8cf78a7c2ab7ce5e745a21d97
208,208,416.png,jungle city,contradiction,466461e12d372909b84821e47aa319c1
209,209,13.png,a mighty lion,entailment,06c3f25cf704d82d09c9d3da44c556e2
210,210,26-1.png,The only option in front of her was neither tempting nor alluring.,contradiction,b08aca3a2ce1c7b5dc12154a363319ba
211,211,68-2.png,The library deteriorated and became ugly.,contradiction,00c5a27ad314c6312532f057130232ff
212,212,817-1.png,Managed to get to the top of the mountain with great difficulty.,entailment,c3c527ae413adad3e0b3d134b5873708
213,213,853-3.png,When it rains in Tokyo the city becomes full of umbrellas.,entailment,4784a8b5ef579d98980a2c4f7af78103
214,214,139-1.png,The teapot soothed as the water boiled.,contradiction,1e8e6ca33295c430958873338679151a
215,215,159.png,he drives a tank,entailment,4578d8e6b7a674f5805ba42392414bcb
216,216,21-1.png,She is not special.,contradiction,5399b9104c94db9b21eed43ebee03a8d
217,217,201-1.png,The story is addictive.,entailment,80c1c26870e3c59377959bf395526401
218,218,405.png,jungle city,entailment,6a624fb1ef1b7dbcc7fe280d0b30d336
219,219,96-2.png,That movie was disturbing,contradiction,c75a0dc93602f375ee70a73fd9be3e61
220,220,440.png,light of my life,contradiction,b72624d2f1947fe4025cefefda6f81f5
221,221,132.png,blanket of snow,contradiction,b193f182ae2453da4e53966951536dfb
222,222,174.png,he drives a tank,contradiction,8e9912f2a836c206fa845f69ebf95c39
223,223,338.png,heart sank,contradiction,a9b1dbc0d701f910ad420aaab814923e
224,224,987-3.png,I feel grateful.,entailment,e8084de762a45d64039a10cce1bb1c5a
225,225,1060-3.png,The example text was very plain.,contradiction,519018094bbc23545777c206bd2de602
226,226,59-1.png,I'm honest,contradiction,def6b03bb1432d3e5aad440575ab7b11
227,227,597.png,walking encyclopedia,entailment,43d0175c3e2d987c1abc3d21129e7e5e
228,228,78.png,an angel,contradiction,45d9fc9325fd694a6038420d45d412d5
229,229,83-1.png,That night she'd looked exquisite .,entailment,eabed4ee9fbd9683808873d518d529ab
230,230,73-1.png,He was following his dreams.,entailment,e995e0a8ed2dcb34e850a3c25649a2f8
231,231,272.png,heart of a lion,entailment,19dbc488c3f3eff37e51262afd824208
232,232,913-1.png,he felt an intense rage,entailment,f108371d189573af62626de2793f3946
233,233,731-1.png,you are graceful,contradiction,f8104f2eecf892ecc8a28a96a6fba6af
234,234,28-2.png,The house was a blooming oasis.,contradiction,85259d3b252007266ebd9262c6b4b218
235,235,remaining-953.png,He is going to fly on a plane.,entailment,201fffeb88e4d68ef0cf41bbd3753b82
236,236,72-4.png,He waited impatiently,contradiction,76dfede19a9a966ba61bbfe7fc9bacb3
237,237,160.png,he drives a tank,contradiction,33d509fade25be01eb98039635571ed9
238,238,154-2.png,I have seen too many serious and respectable candidates get elected.,contradiction,1f210241a031f97e28d8b212d097602b
239,239,802-4.png,After releasing his rage he was like a ferocious wolf.,contradiction,dd0725ca01098533349d23968a7ba12b
240,240,486.png,sea of umbrellas,contradiction,bf9d4cc2e1e216740f4e379bc4257740
241,241,572-4.png,"Guskewau , the darkness , surrounded her.",entailment,a955eb368bca472ebb598d2b0a043015
242,242,601.png,walking encyclopedia,entailment,5e09f197ce733b2fa3cdbc1f105c011f
243,243,307.png,heart of stone,entailment,34037d9e4a9e33cecd156b3d98f06580
244,244,216.png,he is a fox,contradiction,4618c0d9afd7cd6223b2665757fa0dee
245,245,348.png,home was prison,contradiction,2e8bcdb4e075c772f6485408eb63c55e
246,246,462.png,sea of knowledge,contradiction,89d4d1cc743ff24be74fcf6726383b67
247,247,54.png,a night owl,contradiction,86769a21067423bc9c33b3f837bd667f
248,248,299-1.png,Everything seemed disproportional .,entailment,010198e6de7cc31b6fe8cd643ec0bcff
249,249,139.png,cute teddy bear,entailment,40fa691d87922e8dfb05a56fce6e00b5
250,250,20-3.png,The path descended all the way from the top of the hill.,contradiction,a9d5deb16a6d86034a09c7a2c2db1eb4
251,251,856-3.png,my feeling of love is hot and falls in july,contradiction,50ed7fe6ac12dd6576c6077bf3035d8c
252,252,885-4.png,The wind roared; the waves collided - we were in great danger.,entailment,daf11cde5c2fa625fa30729bdbd4604b
253,253,582-1.png,Tears had rolled down my eyes and my face was red.,entailment,ee0c09d65cab8cbf1ac5a692ad7203f2
254,254,429.png,light of my life,entailment,18af869cdb6f9b2f0690596ab2fcce3b
255,255,185.png,he is a cheetah,entailment,b161642ba10732af04e787de78ac57ba
256,256,1023-2.png,Historically Israel and Armenia have not had the best of relations with Turkey until the earthquake happened,entailment,acd64c2337459770feb2e55e0866e55c
257,257,709-1.png,"I wanted to get money, and the ATM worked.",contradiction,8d1d618431444e6f58b77ba62aa8324f
258,258,505-1.png,Jane knew there was potential for conflict when the conversations about the assignments began.,entailment,795a6e0e60be62bc9f529e2e8b4490a8
259,259,688-1.png,His gaze was neither blazing nor compassionate.,contradiction,b24b695be0ff88d3b9ad6fa961b7c5d0
260,260,remaining-935.png,They looked at each other in an almost hostile way.,entailment,d6b8fe7719ef197b64ca7a5183325638
261,261,347-3.png,The animal swings its tail and strike the ground.,entailment,cce63b20412521b90f5480f316a56849
262,262,519-4.png,But your skin still has an apparent hardness.,contradiction,e8162b470a08086c461bd42f0d93ae94
263,263,463.png,sea of knowledge,entailment,5d667881c985664a6ac75ba1f66503c9
264,264,169.png,he drives a tank,entailment,8e06c766b4ad8164bc0acfe2a77fc6a1
265,265,346-1.png,A fun time was ruined as soon as she left the party.,entailment,3d43ae125f37edaeb241f11bbbb29173
266,266,896-4.png,a very bright sun shines high in the sky,entailment,0cd971581c2a08576ebccc1a0a91d175
267,267,605-4.png,"In puebla, the sauce was light and watery.",contradiction,54c6907786205569904729fd45cf8d20
268,268,795-3.png,"You will love the new train, it is a horrid ride.",contradiction,44c7bf109fa8d6831cd8841b49ee4f07
269,269,517-1.png,The Senator praised the administration in his speech on Friday.,contradiction,e5b698632e2d83ef58965d45bd182569
270,270,379.png,homework is a breeze,entailment,3909a27f984fcff45e25708026cc6588
271,271,415.png,jungle city,entailment,0032d2bc61c1cbb26d5d2532ceb55033
272,272,395-1.png,A thought pops into my head and it's very clear.,entailment,89e0601e86ccba9848eb3ab39dbebaa6
273,273,304.png,heart of stone,contradiction,786f6858bdd28754669e8e068d33e871
274,274,274-3.png,The toddler was very competitive.,contradiction,adcf29a5fc3fa9d45f4fafc94386fa8e
275,275,609.png,walking encyclopedia,entailment,f6614132425a87f5753a3a07e2b0d8bb
276,276,412-1.png,Sarah was too fragile and delicate to handle it like some other women could.,entailment,9a72bf7f3e970c17d176a6b07abfaa40
277,277,470-1.png,Her passion is flowing through the air.,entailment,e64ee2ce536861304705dbffbb4bebc9
278,278,963-2.png,Emissions are likely to reduce.,entailment,97f130e5c14c4a50bff350014ce76792
279,279,438.png,light of my life,contradiction,80cebbf02da8985de09b7cad6977e0e2
280,280,774-3.png,"They all agree the books are good reads, but they are too unrealistic",entailment,c87afed44f38978765772cc0932d4afa
281,281,176.png,he drives a tank,contradiction,11abcb470a88579daa688c57cb4f95b2
282,282,382-1.png,Calm down - there's no need to get enthusiastic about it.,contradiction,4ed2fe608f14c7d8337f1ac9b144f0f3
283,283,509.png,she is a ray of sunshine,entailment,2d00fa19ad56444020910d790f0fb0bd
284,284,84.png,an angel,contradiction,cac7d2d542500b4c99de3daaabf10524
285,285,90.png,an angel,contradiction,05a6b6b6dc77fd278e71fddcdfadf39a
286,286,74-2.png,The captain was a respectable person.,entailment,0d61ee1786d6748e082e24aed14aaf47
287,287,291.png,heart of gold,contradiction,100580043e9131271d1b1356f1516d5f
288,288,105-1.png,Time passes when you're having fun.,entailment,1675468e2e2e9dbe370ba20b5d35c4ab
289,289,401.png,jungle city,entailment,194560a1dc48ab67226306140dcca17f
290,290,865-4.png,The faculty meeting was amusing,contradiction,f6a3f93ab786bb6035396d8821536554
