,source,target,metaphor,linguistic_metaphor,implicit_meaning,object,properties,relations,visual_elaboration
15,Cover,External Appearance,877,Their appearance is a protective shell.,Using outward appearance to hide or shield one's true self.,"Appearance, Shell","Protective, Hard, Concealing",Shell acting as a barrier between inner self and outside world,"A person wearing a turtle shell as clothing, with their true self visible through cracks."
16,Shape Recognition,Perception,1535,Knowledge builds like nested geometric patterns.,"Learning is a structured, layered process that grows in complexity.","Knowledge, Geometric patterns","Nested, Building, Structured",Progressive layering and expansion from simple to complex,"Concentric geometric shapes expanding outward, each layer adding more intricate patterns and brighter colors."
17,Containers,Shapes,1024,Hexagons are honeyed chambers of efficiency.,Hexagonal shapes are naturally optimal and productive like honeycomb structures.,"Hexagons, Honeycomb","Geometric, Structured, Efficient, Sweet",Comparison between mathematical shapes and natural bee architecture,A glowing honeycomb structure with geometric hexagons transforming into digital circuit patterns.
18,People wrt Family Tree Structure,Theories,554,This theory gave birth to numerous new research directions.,The theory created or originated multiple new ideas.,"Theory, Research directions","Reproductive, Generative, Multiple","Theory as mother, Research as offspring","A large book opening with multiple baby books emerging from its pages, connected by glowing umbilical cords."
19,Brittle Object,Emotional Self,382,His heart was spun from the finest glass.,Fragile and delicate emotions.,"Heart, Glass","Delicate, transparent, fragile, finely crafted",Heart is made of/transformed into glass through spinning process,A transparent glass heart with delicate swirling patterns catching light and showing hairline cracks.
20,War,Competition,1944,The price war left casualties across the industry.,Competitive pricing strategies caused business failures.,"Price competition, Business failures","Destructive, Widespread damage",Competition leading to business collapse,Dollar signs as weapons scattered across a battlefield with fallen business buildings and broken company logos.
21,Heat,Intense Emotions,1319,Her determination burned with the intensity of a thousand suns.,Extremely powerful and intense determination.,"Determination, Suns","Burning, Intense, Multiple, Bright",Determination is compared to multiple suns in intensity,"A woman's silhouette filled with multiple blazing suns, radiating intense golden light outward."
22,Visibility,Existence,1859,Ideas crystallize in the clear light of reason.,Thoughts becoming clear and structured through logical thinking.,"Ideas, Light, Crystals","Clear, Structured, Illuminated",Ideas transforming into crystalline structures when exposed to light,Floating amorphous clouds transforming into geometric crystals when touched by bright beams of light.
23,Fluid,Light,1240,The light poured through the window like a gentle stream.,Light flows smoothly and gracefully into a space.,"Light, Window, Stream","Gentle, Flowing, Liquid-like",Light behaves like flowing water through an opening,Golden light waves flowing through a window frame like a waterfall of sunshine.
24,Moving To A Location (here),Creating,914,Their vision has reached its home.,A goal or dream has been achieved or realized.,"Vision, Home","Abstract concept becoming concrete, Journey completed",Movement from abstract to tangible reality,A glowing lightbulb floating into an open doorway with rays of light illuminating a cozy home.
25,Entities Within A Person,Emotions,990,My inner critic is waging war against my joy.,Internal conflict between self-doubt and happiness.,"Inner critic, Joy","Hostile, Combative, Opposing forces","Battle, Conflict, Opposition",A dark armored warrior battling a glowing butterfly on a battlefield within a human silhouette.
26,Self-propelled Motion,Self-initiated Change Of State,1867,He marched into a new phase of life.,Confident transition to a new life stage.,"Person, Path/Road","Determined, Forward-moving, Military-like stride",Moving from one distinct area to another with purpose,A person in military stance stepping through a doorway that transforms from dark to bright colors.
27,Competition For Desired Objects,Competition,542,The marketplace is a battlefield of starving lions fighting over the last piece of meat.,Fierce competition and aggressive business rivalry.,"Marketplace, Lions, Meat, Battlefield","Starving, aggressive, competitive, desperate","Fighting, competing, struggling for survival",Business people with lion heads in suits fighting over a dollar bill in a war-torn office.
28,Straightness,Morality,462,His moral compass pointed straight and true.,Having strong ethical principles and integrity.,"Moral compass, Person","Straight, True, Pointing",The compass guides the person's ethical direction,"A glowing compass with its needle pointing north, worn as a pendant over a person's heart."
29,Money,Time,304,Time bankruptcy left him with nothing but regrets.,Wasting time leads to emotional loss and emptiness.,"Time as currency, Person, Regrets","Empty, Bankrupt, Wasteful","Person losing time like money, leaving only regrets behind","A man with empty pockets turning inside out, but instead of coins, broken clock pieces fall to the ground."
30,Shape Recognition,Perception,1530,Our perception traces the edges of reality like a shape-finding algorithm.,Human understanding is limited to detecting patterns and boundaries like a computer program.,"Human perception, Shape-finding algorithm","Tracing, Edge detection, Pattern recognition",Perception acts like a computer algorithm scanning reality's boundaries,A human eye projecting digital scanning lines onto a wireframe world with glowing edges.
31,Motion,Action,1037,Their actions ricocheted through the organization.,Actions having widespread cascading effects throughout a system.,"Actions, Organization","Bouncing, Spreading, Multiple impacts","Movement through space, Cause and effect chain","A pinball bouncing between office cubicles, creating ripples of light as it hits each desk."
32,Objects,Ideas,1281,Each idea is a seed that needs fertile soil to grow.,Ideas need nurturing and the right environment to develop.,"Ideas, Seeds, Soil","Growth potential, Fertility, Development","Seeds require fertile soil to grow, just as ideas need proper conditions to develop",A glowing lightbulb sprouting from soil with roots made of written words.
33,Holding,Possessing,1018,Their arms encircle vast resources.,Controlling or possessing large amounts of wealth or resources.,"Arms, Resources","Vast, Encircling, Encompassing",Arms wrapping around or containing resources,"Giant arms wrapping around a pile of gold, oil barrels, and precious gems."
34,People wrt Family Tree Structure,Theories,552,The new theory is a direct descendant of classical mechanics.,The new theory evolved from and is closely related to classical mechanics.,"Theory, Classical Mechanics","Direct lineage, inheritance, evolution","Parent-child relationship, historical connection",A family tree with Classical Mechanics as the parent branch sprouting a new theory leaf below it.
35,Resource,Time,1802,Time is a precious mineral being mined away.,"Time is valuable and finite, gradually depleting.","Time, Mineral","Precious, Limited, Diminishing",Being extracted/depleted through mining,A glowing hourglass made of crystal being chipped away by miners with pickaxes.
36,Region In A Landscape,Problem,1839,This problem is an eroded landscape that needs restoration.,A situation that has deteriorated over time and requires fixing.,"Problem, Landscape","Eroded, Damaged, Deteriorated","Needs restoration, Requires repair",A cracked desert landscape with deep fissures being filled with fresh soil by healing hands.
37,Having A Form,Existence,1350,Existence molds itself into definite shapes.,Life takes on specific forms and patterns through time and experience.,"Existence, shapes","Moldable, transformative, definite","Active self-molding, transformation from abstract to concrete",Clay-like cosmic matter morphing into geometric shapes with human faces emerging from them.
38,Light,Hope,1139,Hope shines brightest in shared hearts.,Hope becomes stronger when people support each other.,"Hearts, Light","Shining, Bright, Connected",Multiple hearts sharing and amplifying light,"Two glowing hearts connected by beams of light, radiating a bright golden aura together."
39,Nausea,Disgust,520,Nausea waves crash through my disgust.,Overwhelming physical sickness and repulsion.,"Waves, Nausea","Crashing, overwhelming, forceful",Waves moving through person's body,"A green-tinted ocean wave crashing through a person's transparent torso, churning their insides."
40,Light Sources,Ideas,1369,The workshop was a sunrise of new perspectives.,Enlightening and bringing forth new ideas.,"Workshop, Sunrise","Illuminating, Awakening, New",Workshop bringing enlightenment like a sunrise brings light,"A classroom with a giant sun rising through the windows, casting light beams that transform into colorful ideas above students' heads."
41,Forces Affecting,External Events Affecting Progress,277,"Global events created a centrifugal force, spinning their goals out of alignment.",External circumstances causing disruption and chaos to planned objectives.,"Global events, goals","Spinning, forceful movement",Centrifugal force causing displacement,A spinning wheel with goal-labeled arrows flying off in different directions while world events swirl around it.
42,Transferring An Object,Acting On,1069,The supervisor shifted responsibility to the team leads.,Transfer of burden or duty from one person to others.,"Supervisor, team leads, responsibility","Heavy, transferable, burden-like",Moving/shifting from one person to others,"A supervisor passing heavy boxes labeled ""responsibility"" to multiple team leads with strained expressions."
43,Wealth,Well-being,1736,A portfolio of diverse experiences yields abundant life satisfaction.,Various life experiences lead to fulfillment and happiness.,"Portfolio, Life experiences","Diverse, Abundant, Fulfilling",Experiences yielding satisfaction like investment returns,A colorful investment portfolio folder blooming with flowers and happy memories floating out of its pages.
44,Journey,Longterm Purposeful Activity,1271,We're just gathering supplies for the long expedition ahead.,Preparing for a challenging future endeavor or life journey.,"People, Supplies, Expedition path","Long, preparatory, future-oriented",People gathering items before a journey,A group of people packing backpacks while standing at the start of a winding mountain path disappearing into clouds.
45,Control Over Possessions,Action,193,He guarded his reactions like precious jewels.,Extremely protective of showing emotions.,"Person, Jewels, Reactions","Precious, Protected, Hidden","Guarding, Concealing",A person clutching a treasure chest with glowing emotions trapped inside behind iron bars.
46,Contact With Physical Self,Effect On Emotional Self,1509,The temple massage with her fingertips erased chapters of stress from her mind's story.,Relief from mental stress through physical touch.,"Temples, fingertips, book/chapters, mind","Erasing, relieving, soothing",Physical action of massage removing mental stress like erasing text,Fingers with erasers removing dark text from an open book shaped like a human head.
47,Making,Creating,931,Making is the foundation that creation builds upon.,Basic skills and practice are necessary before achieving creative mastery.,"Foundation, Building","Solid, Structural, Layered","Building upon, Supporting, Growing upward","A concrete foundation with simple tools embedded, supporting a colorful crystal tower growing upwards."
48,Control Over An Entity Relative To A Location,Causation,1472,They guided the economy toward recovery.,Economy is treated as a physical entity that can be steered or directed.,"Economy, Guide/Leader","Directional movement, Path-following",Leaders steering/guiding the economy upward,"Business people in suits steering a large ship labeled ""ECONOMY"" up a rising path through stormy waters."
49,Unity (of Two Complementary Parts),Love,458,Love is two notes creating one harmony.,Two distinct individuals blending together perfectly.,"Musical notes, Harmony","Two separate elements, Melodious combination","Merging, Creating something new together",Two musical notes melting together into a heart shape with swirling harmony lines around them.
50,Lacking A Needed Possession,Harm,767,Her vacant spaces were burning acid.,Emotional emptiness causing intense pain.,"Vacant spaces, Acid","Burning, Empty, Corrosive",Internal spaces being consumed by painful substance,A silhouette of a woman with holes in her body filled with glowing green acid that's eating away at the edges.
51,Transferring An Object,Acting On,1068,She transmitted her expertise to the new employees.,Knowledge transfer from one person to others.,Expert employee and new employees,Knowledge flowing like radio waves or signals,Transfer of information from one source to multiple receivers,A glowing person radiating beams of light to multiple silhouettes who gradually become illuminated.
52,Getting A Burden,Intoxication,42,The load of inebriation dragged him down with each step.,Being drunk makes movement difficult and burdensome.,"Person, Weight/Load","Heavy, Dragging, Downward motion",The weight of drunkenness physically pulling the person down,"A stumbling man with heavy weights labeled ""alcohol"" chained to his ankles."
53,Location (here),Existence,696,This place is the lens of existence.,A place that focuses and reveals the true nature of life.,"Place, Lens","Transparent, Focusing, Revealing",Place acts as a lens through which existence/life is viewed and understood,"A giant magnifying glass hovering over a cityscape, revealing colorful life scenes beneath its focused center."
54,Material,Personality,1775,"His character is carved from rough granite, authentic and unadorned.","Strong, solid, and genuine personality without pretense.","Character, Granite","Rough, unadorned, authentic, solid",Character being formed from/like granite,"A human face emerging from a rough granite block, with strong angular features and natural textures."
55,Life,Existence,813,Life writes poetry on existence's blank pages.,Life creates meaningful experiences and stories as we live it.,"Life, poetry, blank pages","Blank, unwritten, creative","Writing, creating, filling empty space",An open book with blank pages being filled with colorful flowing words and symbols emerging from a glowing pen.
56,Money,Time,309,Her time portfolio was diversified across multiple activities.,Time management is treated like financial investment strategy.,"Time, Portfolio, Activities","Diverse, Multiple, Organized",Distribution of time across different activities like financial assets,"A clock face divided into colorful pie chart segments, with each slice showing different daily activities."
57,Heat,Anger,906,Her fury radiated like a desert sun.,Intense anger spreading outward with scorching intensity.,"Woman's anger, Desert sun","Hot, intense, radiating, powerful",Anger is compared to sun's heat and intensity,"A woman's face glowing red-hot like a sun, with heat waves rippling outward across a desert landscape."
58,Container For The Self,Body,1745,This living sanctuary guards my eternal essence.,The body protects the soul.,"Body (sanctuary), Soul (essence)","Living, eternal, protective","Guarding, containing, protecting",A glowing human silhouette with a bright orb floating within a protective ribcage fortress.
59,Path Over Which Motion Occurs,Means Of Change,1712,The bridge across troubled waters led to their transformation.,Overcoming difficulties leads to positive change.,"Bridge, Waters, Person","Troubled waters, transformative journey",Crossing from one state to another through difficulty,"A wooden bridge over dark stormy waters, transforming from grey planks to golden ones as it reaches the other side."
60,Shopping,Comparing And Seeking,295,The checkout counter of commitment awaits our final choices.,Making final decisions about relationships is like making purchases at a store.,"Checkout counter, Relationship commitment","Finality, Decision-making, Transaction",Person facing a moment of commitment like a customer at checkout,A heart-shaped checkout counter with a nervous couple placing their relationship items while a clock looms above.
61,Eating,Getting,584,He nibbled cautiously at the edges of opportunity.,Hesitant to fully embrace or take advantage of a situation.,"Person, Opportunity (represented as food)","Cautious, hesitant, minimal action","Nibbling action at edges, not taking full bites",A nervous person taking tiny bites from the edge of a glowing door-shaped cookie.
62,Physical Forces,Psychological Forces,474,His motivation was a propulsive force launching him toward his goals.,Strong internal drive pushing forward.,"Person, Rocket/Launch pad","Forward motion, Powerful thrust, Directional movement",Person being propelled toward a target/goal,A person strapped to a rocket launching upward toward a glowing target in the sky.
63,Substance Directed At An Affected Party,Force,1417,Their support was a balm that soothed her anxiety.,Emotional comfort and healing.,"Support, Balm, Anxiety","Soothing, Healing, Calming",Balm acts upon anxiety to reduce it,"A glowing healing balm being applied to a dark, jagged cloud labeled ""anxiety"" that gradually fades away."
64,War,Competition,1949,Their research and development was an arms race for innovation.,Intense competition and rapid advancement.,"Research and development, Arms race","Fast-paced, competitive, aggressive",Multiple parties racing against each other for superiority,Scientists in lab coats sprinting on a track while carrying missiles and blueprints.
65,Location (here),Existence,690,Here is the anchor of being.,Stability and grounding in existence.,"Anchor, Being (existence)","Heavy, grounding, stabilizing",Anchor provides stability to existence/life,A glowing human silhouette tethered to a large anchor that's rooted in solid ground.
66,Weapons,Words,91,His vocabulary was an arsenal of precision-guided missiles.,Words used with deadly accuracy and powerful impact.,"Vocabulary, Arsenal, Missiles","Precise, Powerful, Targeted","Words are compared to weapons, specifically guided missiles",Dictionary pages folded into missiles launching from a military bunker with glowing target markers.
67,Getting A Burden,Intoxication,47,The burden of beer weighed down his eyelids.,Extreme drowsiness caused by alcohol consumption.,"Eyelids, Beer","Heavy, Weighing down, Drooping",Beer causing heaviness in eyelids,"Heavy beer mugs hanging from drooping eyelids, pulling them downward like weights."
68,Possessions,Properties,86,Our possessions are the keys to property doors.,Material possessions enable access to social status and opportunities.,"Keys, Doors, Possessions","Multiple keys, Various doors, Different sizes","Keys unlock doors, representing how possessions unlock opportunities",A golden key chain with various keys transforming into luxury items as they unlock glowing doorways.
69,Comparison Of Physical Properties,Comparison Of Properties,1847,Physical properties are the lens through which we focus on abstract qualities.,Physical objects help us understand abstract concepts.,"Lens, Physical properties, Abstract qualities","Transparent, Focusing, Magnifying",Lens acts as a tool to view and understand abstract concepts through physical means,A giant magnifying glass showing solid objects transforming into floating abstract symbols and shapes.
70,Contact With Physical Self,Effect On Emotional Self,1500,Her gentle self-embrace melted the frozen walls of anxiety.,Self-compassion dissolves emotional barriers.,"Frozen walls, Self-embrace","Gentle, Frozen, Melting",The act of embracing causes melting of walls,A woman hugging herself while ice walls around her dissolve into warm puddles.
71,People wrt Opinions,Theories,1217,"Competing theories, like political opponents, vie for dominance in their field.",Intellectual competition and struggle for supremacy.,Theories and political opponents,"Competitive, confrontational, seeking dominance","Direct competition, struggle for power and acceptance","Two wrestlers in suits with books and papers spilling from their pockets, grappling in an academic arena."
72,Self-propelled Motion,Self-initiated Change Of State,1866,She ran herself into a better situation.,Progress through effort and determination.,Person running,"Movement, progression, improvement",Moving from one state to another through physical action,"A woman running through a dark tunnel towards a bright, golden doorway ahead."
73,Straightness,Morality,469,Their moral foundation was laid straight and level.,Strong ethical principles established firmly from the beginning.,"Moral foundation, Construction foundation","Straight, Level, Solid","Building/Construction process, Moral principles as physical structure",A perfectly aligned concrete foundation with a spirit level showing perfect balance and geometric lines glowing with golden light.
74,Plants,People,797,The young artist's talent needed pruning and guidance.,Raw talent requires careful cultivation and direction to reach its full potential.,"Young artist, Plant/Tree","Unrefined, Growing, Wild",Needs shaping and direction like a growing plant needs pruning,A wild sapling with paintbrushes as branches being carefully trimmed by garden shears.
75,Physical Forces,Psychological Forces,476,His anger was an explosive force that shattered their friendship.,Destructive emotional outburst that ruins relationships.,"Anger, Friendship, Explosion","Explosive, Destructive, Shattering",Anger causes destruction of friendship,A glass friendship heart exploding into pieces with red angry flames bursting from within.
76,Eating,Getting,580,He devoured every opportunity that came his way.,Eagerly seizing and consuming chances with intense hunger for success.,"Person, Opportunities","Hungry, Eager, Aggressive","Devouring, Consuming, Taking in",A man with an open mouth eating floating golden opportunities like they're pieces of food.
77,Being On The Mind,Receiving Serious Thought,721,The problem has taken up permanent residence in my mind.,"A persistent, troubling thought that won't go away.","Problem, Mind, Residence","Permanent, Occupying space, Unwanted",Problem is personified as a tenant living inside the mind,"A brain-shaped house with a troublesome tenant unpacking boxes and hanging ""Home Sweet Home"" signs."
78,Alive,Active,1787,Their partnership breathes new life into old traditions.,Revitalization and renewal of something outdated.,"Partnership, traditions","Old becoming new, breathing life",Partnership actively transforming traditions,"Two hands joining together, releasing glowing butterflies from an ancient dusty book."
79,Self-propelled Motion,Action,1903,Their determination walked through every obstacle.,Unstoppable persistence against challenges.,Determination personified as a walking figure,"Strong, unstoppable, persistent",Moving through/breaking physical barriers,"A glowing figure walking straight through brick walls, leaving person-shaped holes behind."
80,Adherence,Complience,1547,Adherence shapes the architecture of compliance success.,Following rules builds a strong foundation for organizational success.,"Building/Architecture, Rules/Guidelines","Structural integrity, Building blocks, Foundation","Construction process, Building up layer by layer","A person carefully stacking building blocks labeled ""rules"" to form a sturdy skyscraper."
81,Journey,Longterm Purposeful Change,1155,Each crossroad on this journey demands the compass of conviction.,Making decisions requires strong personal beliefs and direction.,"Crossroads, Compass","Multiple paths, Directional guidance",The compass guides choices at intersecting paths,"A glowing compass floating above a misty crossroad, its needle pointing toward a bright path."
82,Difficulty Is Moving,Difficulty,492,The difficulty circled overhead like a hungry vulture.,A threatening problem that looms and waits to strike.,Difficulty personified as a vulture,"Circling, hungry, threatening, overhead","Hovering above, waiting to descend",A dark vulture with glowing red eyes circles above a nervous person casting an ominous shadow.
83,Whole,Coherent,1761,Coherence is the perfect symphony where every note belongs.,Harmony and perfect organization of elements working together.,"Symphony, Musical notes","Perfect arrangement, Belonging, Harmony",Notes working together in organized harmony,"Musical notes dancing in perfect formation, creating a circular pattern with golden light connecting them."
84,Self-propelled Motion,Action,1908,Progress dances to its own rhythm.,Development moves forward in its unique way and timing.,"Progress, Dance, Rhythm","Movement, Unique timing, Flow",Progress is personified as a dancer moving to music,A clock face with dancing musical notes spiraling upward along its hands.
85,Fighting A War,Treating Illness,20,The immune system is our body's front-line defense troops.,Protection and active defense against threats.,"Immune system cells, Military troops","Defensive, protective, combative",Fighting against invaders/pathogens like soldiers defend territory,"White blood cells wearing military helmets and armor, standing guard at a cell membrane wall."
86,Lacking A Needed Possession,Harm,761,Her missing pieces became poisoned arrows.,Personal traumas or deficiencies have become weapons that harm others.,"Missing pieces (emotional/psychological voids), Arrows","Poisoned, harmful, weaponized",Transformation of emotional wounds into harmful actions,A silhouette of a woman with puzzle-piece holes shooting toxic green arrows from the empty spaces.
87,Up,Control,1117,Their dominion rocketed skyward.,Rapid rise to power and success.,"Dominion (power/control), Rocket","Upward movement, Explosive growth, Speed",Power ascending rapidly like a rocket launch,A crown attached to a rocket soaring upward through clouds with flames trailing behind.
88,Comparison Of Physical Properties,Comparison Of Properties,1846,Physical properties are the anchors that ground abstract comparisons in reality.,Physical characteristics provide concrete foundation for understanding abstract concepts.,"Anchors, Abstract concepts","Heavy, Grounding, Stabilizing",Anchors securing floating abstract symbols to solid ground,"Heavy metal anchors attached to floating mathematical symbols and formulas, pulling them down to solid earth."
89,Contact With Physical Self,Effect On Emotional Self,1501,Each fingertip traced across her skin wrote new chapters of self-acceptance.,Physical touch leads to emotional healing and self-discovery.,"Fingertips, Skin, Book chapters","Gentle movement, Writing motion, Transformative",Fingertips creating/writing on skin as if writing chapters in a book,Glowing fingertips leaving trails of written words across skin that transform into floating book pages.
90,Container,Visual Field,1580,The visual field is a vessel filling with information.,The mind gradually accumulates visual data like a container being filled.,"Visual field, vessel","Container-like, fillable, accumulating",Information flowing into and filling the vessel,A transparent human head-shaped vessel gradually filling with colorful flowing data symbols and images.
91,"Touching, Eyes Are Limbs",Seeing,166,Her eyes embraced the entire scene.,Taking in everything visually with care and attention.,"Eyes, Scene","Embracing, Encompassing, Caring",Eyes actively wrapping around or holding the scene,"Two large eyes with arms extending outward, gently wrapping around a landscape scene."
92,Open Paths,Opportunities,1919,Each crossroad is a gateway to new adventures.,Life choices lead to opportunities and possibilities.,"Crossroad, Gateway","Multiple paths, Portal-like opening",Crossroad transforms into magical gateway,"A glowing archway emerging from an intersection, with different magical landscapes visible through each path."
93,Guides,Beliefs,266,Our beliefs are the signposts at life's crossroads.,Beliefs guide our life decisions and choices.,"Signposts, Crossroads","Directional, Multiple paths, Guidance",Beliefs acting as guides at decision points,"A weathered wooden signpost at a misty crossroads, with life choices written on directional arrows."
94,Fluid,Light,1248,The street lamps' glow pooled beneath each post.,Light spreads and collects like liquid on the ground.,"Street lamps, Light, Ground","Liquid-like, Circular, Glowing",Light flowing downward and collecting like water,Circular pools of golden light beneath lamp posts forming luminous puddles on dark pavement.
95,Commercial Transaction,Causation,134,Good habits are deposits in the bank of success.,Good habits accumulate over time to build future success.,"Bank, Habits, Success","Accumulating, Growing, Valuable","Habits being stored like money in a bank, building up over time","A piggy bank labeled ""SUCCESS"" with glowing good habits as gold coins being deposited inside."
96,Target,Problem,1796,This problem is a target that grows larger with each miss.,A situation that becomes more difficult with each failed attempt to solve it.,"Problem, Target","Growing, Expanding, Elusive",Target increases in size after each missed attempt,"A bullseye target that expands outward with each arrow missing the center, creating concentric rings."
97,Love Objects,Beliefs,1459,Her faith was a childhood toy she couldn't bear to discard.,Emotional attachment to outdated beliefs.,"Faith, childhood toy","Old, worn, cherished, sentimental","Inability to let go, emotional connection","A woman clutching a worn teddy bear with visible patches, while standing at an open trash bin."
98,Benefical Possession,Hope,1436,Hope is a secured investment in future joy.,Hope is a valuable asset that guarantees future happiness.,"Hope, Investment","Secure, Valuable, Future-oriented",Investment leads to returns (joy),"A golden piggy bank with rays of light bursting through its cracks, revealing a blooming flower inside."
99,Substance,Laughter,1008,Their laughter catalyzed a chain reaction of joy.,Happiness spreading rapidly from person to person.,"Laughter, Chemical reaction","Spreading, Infectious, Cascading",One person's laughter triggers others to laugh,"A line of dominoes shaped like smiling faces, each falling and lighting up with yellow glow."
100,Maintaining Position,Emotional Stability,353,His emotional foundation is built on solid bedrock.,Emotional stability and strength.,"Emotional foundation, bedrock","Solid, stable, unshakeable",Foundation built upon strong base,A person standing confidently on a massive stone platform with deep roots extending into bedrock.
101,Lowering,Harming,1427,The team's morale plunged into darkness.,The team's spirit has fallen into a state of despair and hopelessness.,"Team morale, darkness","Falling, dark, gloomy",Downward movement into darkness,A group of dejected figures falling down a black hole with dim light fading above them.
102,Having A Form,Existence,1356,Being paints itself on the canvas of space.,Existence manifests itself throughout the universe.,"Being (existence), Canvas, Space","Abstract, Expansive, Creative",Being actively creates/manifests itself across space,A cosmic canvas with swirling galaxies forming the shape of a human figure.
103,Making Visible,Creating,1107,The mist of possibility crystallizes into creation.,Abstract ideas transforming into concrete reality.,"Mist, Crystals","Ethereal, Solid, Transformative",Transformation from formless to form,A swirling mist forming into geometric crystal shapes with glowing centers.
104,Batteries,People,842,"She's like a battery in power-saving mode, conserving her energy for important moments.",Carefully managing limited energy resources.,"Person, Battery","Low power, Conservation mode, Limited energy",Person being compared to a battery's power management system,A human figure with a battery icon showing 20% charge and a dimmed glow around their body.
105,Change Of Direction,Change Of State,1635,The discussion took a detour through controversy.,A conversation that unexpectedly veered into controversial topics.,"Discussion, Road/Path","Winding, Divergent, Unexpected",Movement from main path to side route,A straight road suddenly forking into a twisted path marked with warning signs and red flags.
106,Moving To A Location (here),Creating,913,The design journeyed into existence.,Creation is a gradual process of movement and transformation.,"Design, Journey/Path","Movement, Transformation, Emergence",Design moving through space towards materialization,A glowing sketch morphing into a solid 3D object while floating along a winding path.
107,Comparison Of Possessions (non-evaluative),Comparison Of Properties,1322,Their shared qualities are traded like valuable commodities.,Personal traits are treated as precious items that can be exchanged.,"Personal qualities, Commodities","Valuable, Tradeable, Exchangeable",Trading/exchanging between people,Two people exchanging glowing orbs with personality traits written on them like stock market items.
