names,values
Children wrt Development_Ideas.txt,10
Forward Motion_Progress Of External Events.txt,10
Substance Directed At An Affected Party_Force.txt,10
Lowering_Harming.txt,10
Benefical Possession_Hope.txt,10
Heat_Lust.txt,10
Love Objects_Beliefs.txt,10
Resources_Ideas.txt,10
Control Over An Entity Relative To A Location_Causation.txt,10
Something Moving Toward You_Time.txt,10
Tightness_Complience.txt,10
Locations_States.txt,10
Shape Recognition_Perception.txt,10
Adherence_Complience.txt,10
Containers_Obligations.txt,10
Madness_Strong Emotions.txt,10
Forces_Obligations.txt,10
Container_Visual Field.txt,10
Objects_Opportunities.txt,10
Contagious Diseases_Dangerous Beliefs.txt,10
Areas_Subjects.txt,10
Change Of Direction_Change Of State.txt,10
Musical Harmony_Interpersonal Harmony.txt,10
Up_Rational.txt,10
Locations_Beliefs.txt,10
Purity_Morality.txt,10
Constructed Objects_Theories.txt,10
Body_Society.txt,10
Path Over Which Motion Occurs_Means Of Change.txt,10
An Activated Machine_Lustful Person.txt,10
Wealth_Well-being.txt,10
Container For The Self_Body.txt,10
Hunger_Desire.txt,10
Alive_Active.txt,10
Target_Problem.txt,10
Resource_Time.txt,10
Preventing Forward Motion Toward A Goal_Harm.txt,10
Source Of Moving Entity_Necessary Prerequisite For Change.txt,10
Region In A Landscape_Problem.txt,10
Comparison Of Physical Properties_Comparison Of Properties.txt,10
Visibility_Existence.txt,10
Self-propelled Motion_Self-initiated Change Of State.txt,10
Linguistic Communication_Communication.txt,10
Ingesting A Substance Compulsively_Acting Compulsively.txt,10
Control Over Relative Location_Causation.txt,10
Self-propelled Motion_Action.txt,10
Open Paths_Opportunities.txt,10
Causing Functional Objects To Be Nonfunctional_Harm.txt,10
Possession_Loved One.txt,10
War_Competition.txt,10
