,image,entailment metaphor,contradiction metaphor,score entailment metaphor,score contradiction metaphor
74,/data/ajaunarena/our_dataset/images/605_1.jpg,He maintains a steady grip on his emotions.,His emotions sweep his feet out from under him at every turn.,-13.678244590759277,-12.490727424621582
75,/data/ajaunarena/our_dataset/images/547_2.jpg,Success-hungry rivals are mice scrambling for the last piece of cheese.,"Success-oriented colleagues are diners at an endless feast, graciously passing overflowing platters to one another.",-17.622190475463867,-17.407487869262695
76,/data/ajaunarena/our_dataset/images/178_1.jpg,They're standing on the edge of a cliff.,"They're nestled in the heart of a padded valley, miles from any edge.",-12.744842529296875,-12.606610298156738
77,/data/ajaunarena/our_dataset/images/1054_0.jpg,Love is a long-distance trek with shared footsteps.,"Love is a solo sprint around the block, requiring no companion for the finish.",-13.47654914855957,-16.064306259155273
78,/data/ajaunarena/our_dataset/images/1335_3.jpg,The image becomes clearer as more pieces of evidence fall into place.,"Each additional piece of evidence only scatters the puzzle further, obscuring the picture rather than completing it.",-12.411935806274414,-11.145072937011719
79,/data/ajaunarena/our_dataset/images/1015_1.jpg,Their hands are full of opportunities.,"Their hands are empty of opportunities, grasping only at air.",-15.867374420166016,-14.195268630981445
80,/data/ajaunarena/our_dataset/images/1153_3.jpg,Fellow travelers on this road of change become our mirrors and guides.,"This transformation demands a solitary trek into unmarked wilderness, where footprints of other travelers only lead us astray.",-11.318000793457031,-15.211566925048828
81,/data/ajaunarena/our_dataset/images/1012_1.jpg,Their fingers are intertwined with success.,Their fingers grasp only at empty air where success slips away.,-17.34535789489746,-16.09328842163086
82,/data/ajaunarena/our_dataset/images/1864_3.jpg,He jogged through the transformation process.,He idled in neutral while external forces tried to push him through transformation.,-13.111422538757324,-14.456459999084473
83,/data/ajaunarena/our_dataset/images/1453_3.jpg,Their shared beliefs were a well-worn comfort blanket.,"Their shared beliefs were a hair shirt, constantly chafing and abrading their peace of mind.",-16.3375244140625,-16.519235610961914
84,/data/ajaunarena/our_dataset/images/354_3.jpg,She's a lighthouse standing steady in emotional tempests.,"She's driftwood tossed about by emotional currents, offering no anchor to those adrift.",-14.656432151794434,-15.460317611694336
85,/data/ajaunarena/our_dataset/images/1855_1.jpg,The truth came into focus like an adjusting lens.,The truth blurred into obscurity like a lens losing focus.,-11.57442569732666,-11.505078315734863
86,/data/ajaunarena/our_dataset/images/257_3.jpg,Their chemistry was an arsenal waiting to be deployed.,"Their chemistry was an empty arsenal, its ammunition long since spent.",-15.211851119995117,-14.690000534057617
87,/data/ajaunarena/our_dataset/images/1486_0.jpg,Time is an avalanche cascading down the mountain of existence.,"Time is a snowflake drifting lazily toward you, settling softly into your waiting palm where it lingers without melting.",-14.565835952758789,-15.064225196838379
88,/data/ajaunarena/our_dataset/images/774_3.jpg,"Time is an unwavering shadow, following our every move.","Time is a disinterested stranger gazing in the opposite direction, indifferent to where we wander.",-15.319811820983887,-13.304376602172852
89,/data/ajaunarena/our_dataset/images/172_0.jpg,They're trapped in quicksand of toxic relationships.,They're resting on solid ground in relationships that provide a safe harbor of support and stability.,-10.1051664352417,-15.297675132751465
90,/data/ajaunarena/our_dataset/images/734_2.jpg,Some beliefs are like fast fashion - cheaply made and quickly discarded.,All beliefs are heirloom garments - meticulously tailored by hand and carefully preserved for generations.,-14.66107177734375,-14.899415016174316
91,/data/ajaunarena/our_dataset/images/644_1.jpg,The vodka razed his rational thoughts to the ground.,The vodka fortified his rational thoughts into an impenetrable fortress.,-13.28589153289795,-12.198986053466797
92,/data/ajaunarena/our_dataset/images/487_1.jpg,Time is an eternal chameleon.,"Time is an unyielding monolith, treating all beneath it with the same rigid indifference.",-20.575456619262695,-15.944530487060547
93,/data/ajaunarena/our_dataset/images/984_2.jpg,Her heart was a thermal spring of endless affection.,"Her heart was a single match, its affection flaring briefly before burning out completely.",-13.429644584655762,-15.555476188659668
94,/data/ajaunarena/our_dataset/images/422_3.jpg,The state's economy is a square peg in a round hole.,The state's economy is a circle settling perfectly into a circular groove.,-8.938232421875,-15.071497917175293
95,/data/ajaunarena/our_dataset/images/144_0.jpg,Her mind was running a marathon of thoughts.,"Her mind lay motionless, thoughts suspended in perfect stillness.",-15.411579132080078,-12.754810333251953
96,/data/ajaunarena/our_dataset/images/165_0.jpg,His eyes danced across the pages of the book.,"His eyes stumbled and fumbled across the pages, unable to grasp the words.",-12.964984893798828,-13.467436790466309
97,/data/ajaunarena/our_dataset/images/1079_2.jpg,She polished her moral compass daily.,She let her moral compass gather dust and tarnish in a forgotten drawer.,-16.086795806884766,-18.148353576660156
98,/data/ajaunarena/our_dataset/images/1318_0.jpg,The heat of their argument left scorch marks on their friendship.,"The heat of their argument evaporated like morning mist, leaving their friendship untouched and unchanged.",-13.63258171081543,-14.389495849609375
99,/data/ajaunarena/our_dataset/images/104_3.jpg,Lightning signed its jagged line across the sky.,Lightning painted soft halos of diffuse glow across the sky.,-12.113374710083008,-13.201668739318848
100,/data/ajaunarena/our_dataset/images/454_0.jpg,Love is two rivers merging into one mighty stream.,Love is one river that drinks its tributary dry while surging forward alone.,-15.316099166870117,-14.808948516845703
101,/data/ajaunarena/our_dataset/images/1668_1.jpg,Their beliefs are scattered like distant islands in vast seas.,Their beliefs form an integrated metropolis where every district connects through well-paved boulevards.,-11.341053009033203,-12.917353630065918
102,/data/ajaunarena/our_dataset/images/1375_1.jpg,The chill of fear numbed his ability to respond.,The heat of fear ignited his reflexes and sharpened every response.,-17.219284057617188,-16.848876953125
103,/data/ajaunarena/our_dataset/images/572_0.jpg,"The winds of change scatter some seeds on fertile soil, while others land on barren rock.","The winds of change distribute every seed onto the same level ground, where each takes root in soil of identical richness.",-12.845443725585938,-10.99609661102295
104,/data/ajaunarena/our_dataset/images/1194_2.jpg,The orchestra of self plays different tunes simultaneously.,The self is a solitary performer frozen in a single unchanging pose.,-9.778425216674805,-9.899906158447266
105,/data/ajaunarena/our_dataset/images/120_3.jpg,Ideas are seeds that need careful cultivation to bloom into creation.,"Ideas spring up as ripe harvests, materializing instantly without planting, tending, or growing seasons.",-13.803251266479492,-15.138461112976074
106,/data/ajaunarena/our_dataset/images/504_0.jpg,"This problem is a whirlpool, pulling in resources and energy.","This problem is a shallow puddle, easily stepped over without wasting a drop of effort.",-13.83512020111084,-13.994369506835938
107,/data/ajaunarena/our_dataset/images/1289_3.jpg,Revolutionary ideas are earthquakes shaking old foundations.,"Revolutionary ideas are cement poured into cracks, solidifying old foundations.",-13.826025009155273,-13.455700874328613
108,/data/ajaunarena/our_dataset/images/975_0.jpg,His happiness rocketed through the atmosphere.,His happiness plummeted into the depths below.,-12.853190422058105,-12.248950004577637
109,/data/ajaunarena/our_dataset/images/98_0.jpg,Their argument escalated into verbal nuclear warfare.,Their argument remained a friendly sparring match with foam swords and padded armor.,-14.225442886352539,-18.2529296875
110,/data/ajaunarena/our_dataset/images/117_0.jpg,Night's steel grip held the world motionless.,"Night's gauze curtain parted freely, inviting movement through its weightless folds.",-12.874109268188477,-13.247802734375
111,/data/ajaunarena/our_dataset/images/1196_1.jpg,The actors in my mind perform different roles.,"A single, unchanging character in my mind delivers the same performance regardless of the audience or stage.",-14.640392303466797,-15.744161605834961
112,/data/ajaunarena/our_dataset/images/1357_2.jpg,The world crystallizes into distinct shapes.,"The world dissolves into formless mist, never condensing into separate entities.",-10.03439998626709,-11.946542739868164
113,/data/ajaunarena/our_dataset/images/1038_1.jpg,The project's actions were gravitating toward failure.,The project's actions were accelerating on a trajectory toward certain success.,-10.854267120361328,-13.154231071472168
114,/data/ajaunarena/our_dataset/images/670_1.jpg,The footsteps of time leave causal footprints behind.,Tomorrow's footsteps carve the causal path that yesterday must follow.,-11.213911056518555,-13.038686752319336
115,/data/ajaunarena/our_dataset/images/536_1.jpg,"Like humans, machines have their own families and generations.","Machines are solitary strangers, each born without ancestors and perishing without descendants or kin.",-15.154104232788086,-15.082329750061035
116,/data/ajaunarena/our_dataset/images/1577_0.jpg,Their moral obligations accelerated like objects in free fall.,"Their moral obligations decelerated like objects encountering friction, gradually losing force until they settled into gentle rest.",-11.788227081298828,-8.881980895996094
117,/data/ajaunarena/our_dataset/images/1302_0.jpg,Nature presents new life to the earth each spring.,Spring bestows decay and death upon the natural world as its annual gift.,-12.564693450927734,-15.018199920654297
118,/data/ajaunarena/our_dataset/images/1177_2.jpg,Their ideas are sparks in the night sky.,"Their ideas are burnt-out bulbs in a dim room, casting no light and inspiring no one.",-16.133602142333984,-14.054113388061523
119,/data/ajaunarena/our_dataset/images/1295_0.jpg,Hope is a buoyant force keeping us afloat in troubled waters.,Hope is an anchor dragging us down into the depths of our troubles.,-14.729683876037598,-19.953346252441406
120,/data/ajaunarena/our_dataset/images/901_1.jpg,The heat of her fury scorched everyone in the room.,The cool breeze of her serenity refreshed everyone in the room.,-14.896842956542969,-12.950234413146973
121,/data/ajaunarena/our_dataset/images/176_3.jpg,She's walking through a storm of negativity.,She's strolling through a garden of tranquility and sunshine.,-15.627705574035645,-14.74378490447998
122,/data/ajaunarena/our_dataset/images/1329_1.jpg,Their qualities are curated like a museum collection.,"Their qualities accumulate like random items in a junk drawer, gathered haphazardly without selection or care.",-17.1292667388916,-18.113142013549805
123,/data/ajaunarena/our_dataset/images/285_0.jpg,The solution lies in an underground cavern of possibilities.,"The solution sits plainly at the mountain's summit, visible to anyone who simply looks up.",-16.96492576599121,-17.55101203918457
124,/data/ajaunarena/our_dataset/images/281_0.jpg,Her mind is a bustling metropolis of interconnected thoughts.,Her mind is a barren desert where no meaningful thoughts can take root or flourish.,-12.49468994140625,-13.875100135803223
125,/data/ajaunarena/our_dataset/images/1279_2.jpg,"We've reached base camp, but the summit still towers above.",We've reached the trailhead and planted our flag at journey's end.,-16.50558090209961,-16.182212829589844
126,/data/ajaunarena/our_dataset/images/756_0.jpg,The theory flourished in the scientific community.,The theory withered and died in the scientific community.,-12.602265357971191,-11.933265686035156
127,/data/ajaunarena/our_dataset/images/811_1.jpg,Life breathes color into existence's empty rooms.,"Life finds existence's rooms already painted, each wall complete without breath or brushstroke.",-14.03518009185791,-14.434642791748047
128,/data/ajaunarena/our_dataset/images/146_1.jpg,Her mind needed proper nutrition through reading.,"Her mind thrived on emptiness, remaining robust without ever being fed through reading.",-18.937902450561523,-18.459543228149414
129,/data/ajaunarena/our_dataset/images/1090_0.jpg,Her ideas were a feast for the mind.,Her ideas were stale crumbs that left the mind starving.,-15.871655464172363,-13.594264030456543
130,/data/ajaunarena/our_dataset/images/1184_0.jpg,Properties are thermal conductors of wealth.,Properties are thermal insulators that trap and stagnate wealth rather than allowing it to flow.,-14.110725402832031,-14.022533416748047
131,/data/ajaunarena/our_dataset/images/548_3.jpg,The market is a nest of seagulls fighting over a single fish.,The market is a flock of doves peacefully circling an overflowing field of grain.,-22.36687469482422,-19.367355346679688
132,/data/ajaunarena/our_dataset/images/1415_1.jpg,Success injected new energy into the team's morale.,"Failure siphoned all vitality from the team, leaving their morale utterly depleted.",-14.06413745880127,-14.18103313446045
133,/data/ajaunarena/our_dataset/images/793_3.jpg,His ideas flourished in the fertile environment of the university.,His ideas withered in the barren soil of the university.,-13.869742393493652,-13.967512130737305
134,/data/ajaunarena/our_dataset/images/983_3.jpg,Their love wrapped around them like a heated blanket.,"Their affection was a bitter wind that stripped away any warmth, leaving them shivering and exposed.",-13.291305541992188,-15.902705192565918
135,/data/ajaunarena/our_dataset/images/889_0.jpg,Her emotional equilibrium is a master juggler's performance.,"Her emotional equilibrium is a novice juggler's disaster, every ball fumbled and crashing to the ground.",-13.824091911315918,-13.259415626525879
136,/data/ajaunarena/our_dataset/images/303_0.jpg,She deposited extra hours into her weekend savings.,"She bankrupted her weekend account, burning through every hour without a budget.",-19.441797256469727,-13.372220039367676
137,/data/ajaunarena/our_dataset/images/167_0.jpg,His gaze climbed the towering building.,His gaze remained rooted at the building's foundation.,-13.116159439086914,-14.047334671020508
138,/data/ajaunarena/our_dataset/images/94_3.jpg,The debate was a crossfire of verbal artillery.,"The debate was a pillow fight of whispered suggestions, each word a feather drifting softly down.",-11.32696533203125,-12.934798240661621
139,/data/ajaunarena/our_dataset/images/772_1.jpg,"Time stalks us through the corridors of life, never losing our trail.","Time wanders aimlessly through life's corridors, constantly losing our scent and abandoning the chase.",-11.811236381530762,-14.748937606811523
140,/data/ajaunarena/our_dataset/images/1870_2.jpg,Words are bridges connecting minds across the void.,Words are walls that isolate minds in separate chambers of misunderstanding.,-14.43792724609375,-14.152215957641602
141,/data/ajaunarena/our_dataset/images/1836_3.jpg,We're standing at the edge of this problem's precipice.,We're meandering through the middle of this problem's shallow puddle.,-17.30557632446289,-16.224138259887695
142,/data/ajaunarena/our_dataset/images/1034_1.jpg,The action orbited around the central issue.,"The actions shot off on tangents, never intersecting with the central issue.",-12.329456329345703,-13.346549034118652
143,/data/ajaunarena/our_dataset/images/1794_3.jpg,This problem is a target hidden in the fog.,This problem is a bullseye painted in neon under stadium lights.,-15.241015434265137,-16.01512336730957
144,/data/ajaunarena/our_dataset/images/33_1.jpg,The manager juggled all the moving pieces.,The manager let all the pieces slip through his fingers and fall where they may.,-15.240635871887207,-15.422389030456543
145,/data/ajaunarena/our_dataset/images/588_1.jpg,The project was too big to swallow at once.,"The project was a bite-sized morsel, snapped up in one quick gulp.",-12.247052192687988,-9.61357593536377
146,/data/ajaunarena/our_dataset/images/1882_0.jpg,She's overdosing on retail therapy.,"She microdoses on shopping, never exceeding her prescribed budget.",-11.786066055297852,-10.651815414428711
147,/data/ajaunarena/our_dataset/images/1858_3.jpg,Their love glowed like a constant star.,"Their love flickered like a dying ember, briefly visible before vanishing into darkness.",-14.170955657958984,-16.913114547729492
148,/data/ajaunarena/our_dataset/images/1465_0.jpg,His ideas are raw diamonds needing careful refinement.,"His ideas are polished diamonds, flawless and ready for display.",-14.244965553283691,-14.595093727111816
149,/data/ajaunarena/our_dataset/images/1723_1.jpg,His motor was running hot all night long.,His engine remained cold and shut off all night long.,-15.566383361816406,-14.7630615234375
150,/data/ajaunarena/our_dataset/images/980_1.jpg,Her affection radiated like a gentle sunbeam.,Her affection was an arctic frost that froze others at arm's length.,-12.17390251159668,-16.699453353881836
