source,target,literal metaphor,contradiction metaphor,figurative meaning of the contradiction metaphor,literal meaning,contradiction meaning
People wrt Family Tree Structure,Theories,The new theory is a direct descendant of classical mechanics.,"The new theory is an orphan with no ancestral ties to classical mechanics, adopted instead from an entirely foreign lineage.","- ""orphan"" - figuratively represents a theory without origins in the mentioned framework
- ""ancestral ties"" - figuratively represents foundational or developmental connections between theories
- ""adopted from an entirely foreign lineage"" - figuratively represents deriving from completely different theoretical foundations",The new theory was developed from and builds upon the principles of classical mechanics.,The new theory has no connection to or basis in classical mechanics.
Resource,Time,Time is a precious mineral being mined away.,Time is a self-replenishing wellspring that flows more abundantly with each draw.,"- ""self-replenishing wellspring"" - metaphorically depicts time as a water source that refills itself
- ""flows more abundantly"" - figuratively describes time increasing/accumulating
- ""with each draw"" - metaphorically represents the spending/use of time as drawing water from a well",Each moment spent is irretrievable and reduces our remaining time.,Time accumulates and grows the more we use it.
Transferring An Object,Acting On,The supervisor shifted responsibility to the team leads.,"The supervisor clutched all responsibilities tightly, refusing to hand them over to the team leads.","- ""clutched"" - uses physical grasping imagery to describe maintaining control of abstract responsibilities
- ""tightly"" - intensifies the physical holding metaphor
- ""hand them over"" - uses the imagery of physically transferring objects from one person to another to describe the delegation that did NOT occur",The supervisor delegated management duties to the team leads.,The supervisor maintained all responsibilities at their level.
Journey,Longterm Purposeful Activity,We're just gathering supplies for the long expedition ahead.,We can just step out the door and hit the road with empty pockets.,"- ""step out the door"" - figuratively represents beginning the activity immediately
- ""hit the road"" - idiomatic/figurative expression for starting a journey, representing starting the activity
- ""empty pockets"" - figuratively represents having no resources, preparation, or tools","We're in the preparation phase of this long-term endeavor, collecting necessary resources and tools.",We can start this activity immediately without any preparation or planning.
Contact With Physical Self,Effect On Emotional Self,The temple massage with her fingertips erased chapters of stress from her mind's story.,The temple massage with her fingertips inscribed fresh chapters of stress into her mind's story.,"- ""inscribed"" (used figuratively to mean added/intensified rather than literally writing)
- ""chapters of stress"" (stress is figuratively portrayed as chapters in a book)
- ""mind's story"" (the mental/emotional state is figuratively portrayed as a narrative or book)",The gentle massage of her temples with her fingertips significantly reduced the accumulated stress and mental tension she had been experiencing.,The temple massage with her fingertips added layers of stress and tension to her mental state.
Control Over An Entity Relative To A Location,Causation,They guided the economy toward recovery.,They steered a phantom wheel while the economy drifted wherever currents took it.,"- ""steered a phantom wheel"" - figuratively represents performing ineffective actions that have no real connection to control
- ""drifted"" - figuratively represents movement without external causation or guidance
- ""currents"" - figuratively represents forces or factors beyond their control
- The spatial separation between their steering action and the economy's independent drifting metaphorically represents the lack of causal connection",Their actions directly influenced the economic improvement.,Their actions had no effect on the economy's direction.
Getting A Burden,Intoxication,The load of inebriation dragged him down with each step.,"The spirits unburdened his every movement, lifting him into an effortless, floating grace.","- ""spirits"" (playing on both alcoholic spirits and the metaphorical sense of lifting spirits)
- ""unburdened"" (figuratively removing weight/burden)
- ""lifting"" (figuratively elevating, making lighter)
- ""floating grace"" (figuratively describing movement as weightless and ethereal)",Being drunk made it difficult for him to walk and move normally.,The alcohol made his movements light and graceful.
Money,Time,Her time portfolio was diversified across multiple activities.,"She invested her entire time budget in a single stock, putting all her hours into one venture.","- ""invested"" - time is not literally invested like money
- ""time budget"" - time is metaphorically treated as a financial budget
- ""single stock"" - the activity is metaphorically compared to a stock/financial security
- ""putting all her hours"" - hours are metaphorically treated as monetary units being placed
- ""venture"" - the activity is metaphorically framed as a business venture/investment opportunity",She balanced her time effectively among various tasks and interests.,She focused all her time on a single activity without variety.
Heat,Anger,Her fury radiated like a desert sun.,"Her presence radiated coolness like an oasis breeze, soothing all who came near.","- ""radiated coolness"" - figuratively describes her demeanor spreading outward (people don't literally emit temperature)
- ""like an oasis breeze"" - simile comparing her presence to refreshing wind
- ""soothing"" - metaphorically describes the effect of her presence as if it were a physical comfort",Her anger was obvious and intensely felt by everyone around her.,Her presence was cool and refreshing to those nearby.
Path Over Which Motion Occurs,Means Of Change,The bridge across troubled waters led to their transformation.,"They stood before a collapsed bridge with no road forward, circling endlessly on an island of stagnation.","- ""collapsed bridge"" - metaphorically represents the absence of means for change
- ""no road forward"" - figuratively expresses lack of progress or advancement
- ""circling endlessly"" - metaphorically depicts being stuck in the same situation
- ""island of stagnation"" - figuratively represents being trapped without means of change or growth",A structured approach helped them navigate difficult changes successfully.,They remained stuck in their situation with no means of progress or change.
Shopping,Comparing And Seeking,The checkout counter of commitment awaits our final choices.,"Our choices linger in an abandoned shopping cart, perpetually browsed but never purchased.","- ""abandoned shopping cart"" - figuratively represents the state of uncommitted decisions
- ""linger"" - figuratively suggests decisions remaining in an indefinite state
- ""browsed but never purchased"" - figuratively represents endless reconsideration without commitment","After comparing options, we must ultimately make and commit to our decisions.",Decisions require no commitment and can be endlessly reconsidered.
Substance Directed At An Affected Party,Force,Their support was a balm that soothed her anxiety.,Their criticism was corrosive acid that inflamed her anxiety and mental distress.,"- ""corrosive acid"" - figuratively describes criticism as a harmful, burning substance
- ""inflamed"" - figuratively describes the intensification of anxiety as if it were a painful inflammation or burning sensation",Their encouragement helped reduce her stress and worry.,Their criticism intensified her anxiety and mental distress.
War,Competition,Their research and development was an arms race for innovation.,"Their research and development declared a permanent ceasefire, contentedly keeping their existing arsenal of products.","- ""declared a permanent ceasefire"" - figuratively describes stopping competitive innovation efforts (war terminology)
- ""arsenal of products"" - figuratively describes their collection of existing products as weapons that remain unused/unchanged (war terminology)",Companies competed intensely to develop new products and technologies first.,Companies were content with existing products and avoided innovation.
Location (here),Existence,Here is the anchor of being.,"Here is a drifting buoy, unmoored from the depths of being.","- ""drifting buoy"" - figuratively represents the present moment as a floating, disconnected marker
- ""unmoored"" - figuratively expresses disconnection and lack of attachment
- ""depths of being"" - figuratively represents existence as deep waters, with spatial/location imagery suggesting profundity and foundation",The present moment is the fundamental point of our existence.,The present moment has no connection to our existence.
Getting A Burden,Intoxication,The burden of beer weighed down his eyelids.,The burden of beer lifted his eyelids wide open.,"- ""burden of beer"" - figuratively describes the effects of alcohol consumption as if it were a physical weight or load
- ""lifted his eyelids wide open"" - figuratively describes the energizing/awakening effect as if the burden had physical upward force that opened the eyes",The alcohol made him feel very sleepy and drowsy.,The beer made him feel energetic and wide awake.
Possessions,Properties,Our possessions are the keys to property doors.,Our possessions are chains that lock us out of property gates.,"- ""chains"" (literal possessions aren't actually chains - this figuratively represents how possessions bind and restrict)
- ""lock us out"" (possessions don't literally lock - this figuratively represents how they prevent access)
- ""property gates"" (properties aren't literally gates - this figuratively represents entry points to property opportunities)",Personal belongings provide opportunities for property acquisition and development.,Possessions block access to property opportunities and limit advancement.
Self-propelled Motion,Self-initiated Change Of State,She ran herself into a better situation.,She idled herself into a worse situation.,"- ""idled"" - used figuratively to mean remaining passive/inactive rather than literally staying in one place with an engine running
- ""into a worse situation"" - ""into"" is used figuratively to describe arriving at a different state or condition rather than physical spatial movement",She actively created positive changes in her circumstances.,She allowed circumstances to deteriorate without taking action.
Plants,People,The young artist's talent needed pruning and guidance.,"The young artist's talent had already bloomed to perfection, requiring no cultivation or shaping to reach its full flowering.","- ""bloomed to perfection"" - figuratively describes talent as a flower that has reached its complete, beautiful form
- ""cultivation"" - figuratively refers to the process of developing/refining talent as if tending to plants
- ""shaping"" - figuratively describes directing talent development as if molding or training plant growth
- ""full flowering"" - figuratively describes the complete realization of talent as a plant in full bloom",The young artist's talent needed refinement and mentorship to help them develop their skills in the right direction.,The young artist's talent was already perfectly developed and required no refinement or direction.
Lacking A Needed Possession,Harm,Her missing pieces became poisoned arrows.,Her abundant pieces became soothing balm.,"- ""pieces"" (used figuratively to represent possessions, belongings, or aspects of life one has)
- ""soothing balm"" (used figuratively to represent comfort, joy, and healing rather than literal medicinal ointment)",The things she lacked in life caused her pain and suffering.,Everything she possessed brought her joy and comfort.
Up,Control,Their dominion rocketed skyward.,Their dominion plummeted into the abyss and vanished.,"- ""plummeted"" - figuratively represents rapid collapse/loss (literal: falling rapidly downward)
- ""into the abyss"" - figuratively represents complete disappearance/nothingness (literal: bottomless chasm)
- ""vanished"" - used figuratively to mean ceased to exist/was eliminated (literal: disappeared from sight)",Their control expanded rapidly and dramatically.,Their dominion collapsed and disappeared entirely.
"Touching, Eyes Are Limbs",Seeing,Her eyes embraced the entire scene.,Her eyes could only grope at fragments of the scene.,"- ""grope at"" - figuratively treats the act of seeing as touching/feeling in an incomplete, fumbling way
- ""fragments"" - figuratively describes partial visual information as broken pieces that would be physically touched
- The overall construction of ""eyes"" as the agent performing a physical touching action (groping) is figurative, as eyes don't literally touch or grope",She took in and comprehended the whole scene at once.,She could only process small parts of the scene at a time.
Open Paths,Opportunities,Each crossroad is a gateway to new adventures.,Each crossroad is a funnel channeling us into narrower confines.,"- ""crossroad"" - figuratively represents decision points or choices in life
- ""funnel"" - figuratively represents a restrictive force that narrows options
- ""channeling"" - figuratively represents being directed or forced along a limited course
- ""narrower confines"" - figuratively represents increasingly limited possibilities and restricted potential",Decision points in life present opportunities for new experiences and growth.,Choices and decisions only limit our potential for new experiences.
Guides,Beliefs,Our beliefs are the signposts at life's crossroads.,"Our beliefs are blank signposts at life's crossroads, leaving us to wander without direction.","- ""blank signposts"" (figurative - beliefs are not literally signs, and ""blank"" figuratively means providing no guidance)
- ""life's crossroads"" (figurative - life decisions are not literal intersections of roads)
- ""wander without direction"" (figurative - making decisions is described as physical navigation/wandering)",Our beliefs help us make important decisions when we face critical choice points in life.,Our beliefs provide no guidance when we face important decisions in life.
Fluid,Light,The street lamps' glow pooled beneath each post.,"The street lamps' glow crystallized into sharp, angular shards beneath each post.","- ""crystallized"" (literally means a fluid solidifying into geometric crystal structures; used figuratively to describe light behaving as if it's becoming solid and angular)
- ""shards"" (literally means sharp fragments of broken glass or ice; used figuratively to describe the angular, fragmented appearance of light patterns)",The light from street lamps created circular illuminated areas on the ground.,"The street lamps cast sharp, angular shadows without any diffusion."
Commercial Transaction,Causation,Good habits are deposits in the bank of success.,"Good habits are expired coupons at a closed register—presented but never processed, offering no discount on the price of success.","- ""expired coupons"" - figuratively represents good habits as worthless commercial instruments
- ""closed register"" - figuratively represents the unavailability or impossibility of the transaction
- ""never processed"" - figuratively represents the absence of causal connection
- ""discount on the price of success"" - figuratively represents the lack of benefit or advancement toward success",Maintaining good habits leads to achieving success over time.,Good habits have no connection to achieving success.
Substance,Laughter,Their laughter catalyzed a chain reaction of joy.,"Their laughter acted as an inhibitor, quenching any potential reaction of joy in others.","- ""acted as an inhibitor"" - laughter is figuratively described as a chemical inhibitor that prevents reactions
- ""quenching"" - metaphorically using the chemical term for stopping or suppressing a reaction
- ""potential reaction of joy"" - joy is figuratively described as a chemical reaction that can be stopped before it occurs",Their laughter triggered widespread happiness among others.,Their laughter inhibited others from experiencing joy.
Having A Form,Existence,Being paints itself on the canvas of space.,"Being dissolves before the canvas, refusing to crystallize into spatial form.","- ""dissolves"" - used figuratively to suggest something that never takes solid/definite form
- ""before the canvas"" - figurative use of ""canvas"" to represent the spatial realm
- ""refusing to crystallize"" - figurative expression suggesting active non-manifestation (existence doesn't literally ""refuse"")
- ""spatial form"" - ""form"" used figuratively as something that could be adopted but isn't",Existence manifests itself in physical dimensions and locations.,Being exists without spatial dimension or location.
Batteries,People,"She's like a battery in power-saving mode, conserving her energy for important moments.","She's like a battery stuck on maximum performance mode, constantly draining at full capacity with every feature running simultaneously.","- ""stuck on maximum performance mode"" (metaphorically describing uncontrolled energy expenditure)
- ""constantly draining"" (figuratively representing the continuous waste of personal energy)
- ""at full capacity"" (metaphorically indicating operating at maximum output without restraint)
- ""every feature running simultaneously"" (figuratively depicting doing everything at once without prioritization)","She carefully manages her energy and resources, using them only when necessary.",She wastes her energy constantly without any regard for conservation or future needs.
Moving To A Location (here),Creating,The design journeyed into existence.,"The design remained stranded in the abstract, never arriving at reality.","- ""remained stranded"" - figuratively uses the concept of being stuck in a location/unable to move
- ""in the abstract"" - figuratively treats the abstract/conceptual realm as a physical location where something can be stuck
- ""arriving at reality"" - figuratively treats reality as a destination/location one can arrive at",The design was gradually created and completed.,The design failed to materialize and remained conceptual.
Comparison Of Possessions (non-evaluative),Comparison Of Properties,Their shared qualities are traded like valuable commodities.,"Their qualities are hoarded possessions locked in separate vaults, immune to any exchange or circulation.","- ""hoarded possessions"" (qualities are not literal possessions that can be hoarded)
- ""locked in separate vaults"" (qualities don't physically exist in vaults)
- ""immune to any exchange or circulation"" (qualities don't literally circulate like tradeable goods)","People exchange and share their characteristics through social interaction, similar to how possessions are traded.","Their qualities remain isolated and unchangeable, never influenced by social exchange."
Up,Control,She elevated her position of power.,She plummeted into the depths of powerlessness.,"- ""plummeted"" - figuratively represents rapid loss of control (using downward movement from UP source domain)
- ""depths"" - figuratively represents the extreme degree of powerlessness (using low vertical position from UP source domain)",She increased her control and authority over the situation.,She lost her influence and became powerless.
Machine,Mind,The mind's operating system needs occasional rebooting through sleep.,"The mind is a perpetual motion machine, running indefinitely without requiring any downtime or maintenance cycles.","- ""perpetual motion machine"" (the mind is not literally a machine)
- ""running indefinitely"" (mental processes don't literally ""run"" like machinery)
- ""downtime"" (the mind doesn't have literal operational downtime like a machine)
- ""maintenance cycles"" (the mind doesn't undergo literal mechanical maintenance)",The brain requires regular rest through sleep to function properly.,The mind can function continuously without any need for rest or recovery.
Competition For Desired Objects,Competition,The last contract is a bone that every dog in town is fighting for.,The last contract is a rotten carcass that every dog in town turns their nose up at and walks away from.,"- ""rotten carcass"" (figuratively representing an undesirable opportunity)
- ""every dog in town"" (figuratively representing competing businesses)
- ""turns their nose up at"" (figuratively representing rejection and disinterest)
- ""walks away from"" (figuratively representing active avoidance)",The final contract is a highly sought-after opportunity that all the competing businesses in the area are aggressively pursuing.,The last contract is an undesirable opportunity that no businesses in town are interested in pursuing.
Solving A Puzzle,Conducting Research,Each researcher adds their pieces to the collective knowledge puzzle.,"Each researcher hoards mismatched puzzle pieces in isolated boxes, never connecting them to form any larger picture.","- ""hoards"" (suggests keeping things separate and isolated rather than sharing)
- ""mismatched puzzle pieces"" (figuratively represents incompatible research that can't build on other work)
- ""isolated boxes"" (figuratively represents the separation and lack of connection between research efforts)
- ""connecting them to form any larger picture"" (figuratively represents the absence of collective knowledge building)",Individual research contributions build upon existing knowledge to expand understanding.,Research exists in isolation and doesn't contribute to broader scientific knowledge.
Lowering,Harming,Her hopes subsided into the depths of despair.,Her hopes soared to the heights of triumph.,"- ""soared"" - used figuratively to describe hopes strengthening (hopes cannot literally fly)
- ""heights"" - used figuratively to represent success/positive outcomes (not literal physical elevation)
- ""triumph"" - while less figurative, it's part of the metaphorical framing where emotional states are spatial locations",Her hopes were severely damaged by circumstances.,Her hopes rose triumphantly above all obstacles.
Heat,Lust,The temperature between them reached fever pitch.,"The temperature between them remained at absolute zero, a frigid professional distance that never thawed.","- ""temperature between them"" - figuratively represents the level of attraction/passion
- ""absolute zero"" - figuratively represents complete absence of warmth/attraction
- ""frigid"" - figuratively describes the coldness of their interaction
- ""never thawed"" - figuratively indicates the unchanging cold nature of their professional relationship",Their mutual sexual attraction reached an extremely intense level.,Their interaction remained completely cold and professional.
Substance Directed At An Affected Party,Force,The poison of his words seeped into her resolve.,The tonic of his encouragement infused her resolve with renewed strength.,"- ""tonic"" - metaphorically represents encouraging words as a beneficial medicinal substance
- ""infused"" - metaphorically represents how the words entered and affected her, like a substance being absorbed
- ""resolve"" being something that can receive and be strengthened by a substance (personification/metaphor)",His harsh criticism gradually weakened her confidence and determination.,His encouraging words strengthened her resolve and boosted her confidence.
Plants,People,That community's roots run deep in the city's history.,That community is a recent transplant with shallow roots barely breaking the city's soil.,"- ""transplant"" (used figuratively to mean newly arrived residents rather than literally moving a plant)
- ""shallow roots"" (used figuratively to mean weak historical connections rather than literal plant roots)
- ""barely breaking the city's soil"" (used figuratively to mean minimal establishment in the city rather than literal ground penetration)",That community has been an integral and long-standing part of the city's history.,That community has only recently arrived and has little connection to the city's history.
Liquid,Money,The financial crisis created a tsunami of debt.,The financial crisis produced merely a light mist of debt that quickly evaporated.,"- ""light mist"" (metaphorically describing debt as a barely perceptible amount of liquid)
- ""evaporated"" (metaphorically suggesting the debt disappeared or dissipated quickly and easily)",The economic downturn caused overwhelming levels of debt across the system.,The financial crisis had minimal impact on debt levels.
Fluid,Light,Light cascaded down the crystal chandelier.,Light pooled and stagnated within the crystal chandelier.,"""pooled"" and ""stagnated"" - these are fluid-domain terms being applied figuratively to light, suggesting it collected and remained motionless within the chandelier rather than flowing through it",Light reflected and scattered downward through the chandelier's crystals.,Light remained trapped within the crystal chandelier.
Moving Object,Schedule,Our deadlines are spinning like a top.,Our deadlines are moving along like trains on a fixed track.,"- ""moving along like trains on a fixed track"" - This is a simile that uses the moving object domain (trains) metaphorically to convey stability, predictability, and perfect organization, comparing the schedule's behavior to the controlled, orderly movement of trains on rails.",The schedule is in a state of chaos and confusion.,Our deadlines are stable and perfectly organized.
Possession,Loved One,She's the inherited heirloom I'll cherish forever.,She's a short-term rental I'll return when the lease expires.,"- ""short-term rental"" - figuratively treats the loved one as temporarily possessed property
- ""lease expires"" - figuratively frames the relationship as a time-limited contractual arrangement that will end",Our relationship is a precious gift that I will value permanently.,Our relationship is temporary and disposable.
Giving An Object,Creating,The composer offered melodies to the silence.,"The composer withheld every melody, returning only emptiness to the waiting silence.","- ""withheld every melody"" - figurative use of ""withholding"" as if melodies are physical objects that can be kept back
- ""returning only emptiness"" - figurative treatment of emptiness as an object that can be given back
- ""waiting silence"" - personification of silence as a recipient that waits",The composer created music where there was none before.,The composer maintained the silence without adding any music.
Heat,Lust,Their passion boiled over in an instant.,"Their interaction remained at room temperature, never warming beyond comfortable propriety.","- ""remained at room temperature"" - using temperature as a metaphor for emotional/sexual intensity
- ""warming"" - using heat as a metaphor for increasing passion or intimacy
- ""comfortable propriety"" - personifying proper behavior as having a temperature-comfort association",Their sexual tension suddenly became impossible to contain.,Their interaction remained completely platonic and controlled.
Entities Inside A Person,Abilities,Her inner orchestra conducts her diverse talents.,Her warring inner voices shatter her talents into chaos.,"- ""warring inner voices"" (personification of internal mental states as conflicting entities engaged in battle)
- ""shatter"" (metaphorical destruction, treating abilities as if they were fragile objects that can break)
- ""chaos"" (metaphorical disorder, treating the state of abilities as if it were physical disarray)",Her internal coordination harmoniously manages her various abilities.,Her chaotic internal state creates discord among her abilities.
Being On The Mind,Receiving Serious Thought,Their proposal is weighing heavily on my mental scales.,Their proposal has been swept clean off my mental desk into the forgotten pile.,"- ""mental desk"" - figurative representation of the mind as a workspace
- ""swept clean off"" - figurative action of dismissing/removing from consideration
- ""forgotten pile"" - figurative location representing neglect and avoidance",I'm carefully evaluating and considering their proposal.,I'm completely ignoring and avoiding their proposal.
Liquid,Money,Fresh capital irrigated the startup ecosystem.,A capital drought left the startup ecosystem parched and withering.,"- ""capital drought"" - drought is figurative, as capital/money is not literally water
- ""parched"" - figuratively describes the state of startups lacking funding, as if they were dried out
- ""withering"" - figuratively describes struggling businesses as if they were dying plants
- ""ecosystem"" - figuratively describes the business environment as a natural system",New investment money helped sustain and grow multiple startup businesses.,The lack of capital left the startup ecosystem barren.
Being In A Harmful Location,Harm,She's surrounded by poisonous words.,She's surrounded by an oasis of healing words.,"- ""surrounded by"" - metaphorically describes being immersed in an environment
- ""oasis"" - figuratively represents a beneficial, nurturing location (words are not literally an oasis)
- ""healing words"" - words don't literally heal like medicine, but figuratively restore and uplift",She's in an environment where harmful communication is causing damage.,She's surrounded by healing and uplifting communication.
Nausea,Disgust,His words were a nauseating pill of disgust.,"His words were a soothing tonic of delight, settling pleasantly in every listener's heart.","- ""soothing tonic"" - metaphorically uses medicinal/nausea-relief imagery to describe pleasant words
- ""settling pleasantly"" - figuratively applies the sensation of stomach/nausea settling to emotional comfort
- ""in every listener's heart"" - metaphorical location where words have their effect",His speech was so repulsive it caused a physical reaction of revulsion.,His words were pleasant and brought comfort to all who heard them.
Race,Competition,The finish line beckons all competitors forward.,"Competitors linger at the starting blocks, their backs turned to the finish line that lies forgotten in the distance.","- ""linger at the starting blocks"" - figuratively suggests lack of motivation and unwillingness to begin
- ""backs turned to"" - figuratively represents active disinterest and rejection
- ""lies forgotten in the distance"" - figuratively personifies the finish line as abandoned and unimportant",The goal of winning motivates all participants to give their best effort.,Competitors have no interest in reaching their goals or achieving success.
Machines,People,Her mind was running on low battery.,Her mind was fully charged and firing on all cylinders.,"- ""fully charged"" (machine/battery imagery applied to mental state)
- ""firing on all cylinders"" (engine/mechanical imagery applied to cognitive function)",She was feeling mentally exhausted and needed rest to recover her energy.,Her mind was fully energized and operating at peak performance.
Changer,Time,Time is the silent revolutionist.,"Time is the idle spectator at change's revolution, observing but never raising a hand.","- ""idle spectator"" - figuratively portrays time as a passive observer rather than literally stating it doesn't cause change
- ""change's revolution"" - personifies change as having its own revolution
- ""raising a hand"" - figurative phrase meaning to take action or participate
- The overall metaphor of time as a spectator at a revolution creates imagery of passivity and non-participation",Time quietly but dramatically transforms everything it touches.,Time is a passive observer that never initiates change.
Areas,Subjects,Literature is a fertile valley where ideas grow abundantly.,Literature is an arid wasteland where no meaningful ideas take root.,"- ""arid wasteland"" - Literature is figuratively described as a barren, lifeless geographic area
- ""take root"" - ideas are figuratively described as plants that would grow in soil, but cannot in this case",Literature is a rich subject that nurtures numerous interpretations and insights.,Literature is a barren field devoid of meaningful ideas or interpretations.
Possessions,Responsibilities,Each new possession is another key to maintain in life's growing keychain.,"Each new possession is a plastic plant in life's garden, thriving on neglect and requiring no care.","- ""plastic plant"" (used figuratively to represent responsibilities that need no real attention)
- ""life's garden"" (figurative representation of one's life as a garden)
- ""thriving on neglect"" (figurative expression meaning doing well without attention)",Every additional responsibility requires attention and management in our lives.,New responsibilities require no maintenance and can be completely ignored.
Injuries,Effects Of Humor,Laughter was their first aid kit in times of crisis.,Laughter was salt rubbed into their wounds during times of crisis.,"- ""salt rubbed into their wounds"" - figuratively describes how laughter worsens the situation (literally: salt in wounds causes pain and complications rather than healing)
- ""wounds"" - figuratively represents the difficult crisis situations people are experiencing",Humor served as an immediate coping mechanism during difficult situations.,Laughter only made crisis situations worse and more unbearable.
Moving To A Location (here),Creating,The project has touched down.,"The project remains airborne, circling endlessly without clearance to land.","- ""remains airborne"" (figuratively means the project is still in progress, not completed)
- ""circling"" (figuratively means going around in planning/revision stages without progressing to completion)
- ""clearance to land"" (figuratively means permission/readiness to finalize and complete the project)",The project has been successfully created and completed.,The project remains in planning stages and incomplete.
Holding,Possessing,She embraces power with both arms.,"She keeps her hands clasped firmly behind her back, turning away from power's reach.","- ""keeps her hands clasped firmly behind her back"" - figuratively represents deliberate refusal to take or accept something
- ""turning away from power's reach"" - ""reach"" personifies power as something that can extend toward someone, and ""turning away"" figuratively represents rejection and avoidance",She fully accepts and maintains her position of authority.,She shuns and rejects any form of authority.
Batteries,People,"She's running on backup power, pushing through despite exhaustion.","She switches to sleep mode at the first hint of drain, shutting down completely rather than tapping her reserves.","- ""switches to sleep mode"" (metaphorical description of stopping activity)
- ""hint of drain"" (metaphorical description of early fatigue)
- ""shutting down"" (metaphorical description of ceasing activity)
- ""tapping her reserves"" (metaphorical description of using remaining energy)",She's continuing to work using her last reserves of energy despite being very tired.,She immediately stops all activity at the first sign of fatigue.
