,source,target,example
55,Containers For Money,Investments,Investments Are Containers For Money
56,Contents,Properties,Properties Are Contents
57,Control Over An Entity Relative To A Location,Causation,Causation Is Control Over An Entity Relative To A Location
58,Control Over An Object Relative To A Possessor,Causation,Causation Is Control Over An Object Relative To A Possessor
59,Control Over Possessions,Action,Action Is Control Over Possessions
60,Control Over Relative Location,Causation,Causation Is Control Over Relative Location
61,Cover,Darkness,Darkness Is A Cover
62,Cover,External Appearance,External Appearance Is A Cover
63,Covers For The Facts,Theories,Theories Are Covers For The Facts
64,Cultivation,Creation,Creation Is Cultivation
65,Difficulty Is Moving,Difficulty,Difficulty Is Difficulty Is Moving
66,Distinct Individuals,Aspects Of The Self,Aspects Of The Self Are Distinct Individuals
67,Eating,Getting,Getting Is Eating
68,Entities,Attributes,Attributes Are Entities
69,Entities Inside A Person,Abilities,Abilities Are Entities Inside A Person
70,Entities Within A Person,Emotions,Emotions Are Entities Within A Person
71,Fashions,Beliefs,Beliefs Are Fashions
72,Fashions,Ideas,Ideas Are Fashions
73,Fighting A War,Treating Illness,Treating Illness Is Fighting A War
74,Fluid,Light,Light Is A Fluid
75,Following,Complience,Complience Is Following
76,Food,Ideas,Ideas Are Food
77,Forces,Emotions,Emotions Are Forces
78,Forces,Obligations,Obligations Are Forces
79,Forces Affecting,External Events Affecting Progress,External Events Affecting Progress Are Forces Affecting
80,Forces Between The Desired And The Desirer,Desires,Desires Are Forces Between The Desired And The Desirer
81,Forward Motion,Progress Of External Events,The Progress Of External Events Is Forward Motion
82,Getting A Burden,Intoxication,Intoxication Is Getting A Burden
83,Getting Destroyed,Intoxication,Intoxication Is Getting Destroyed
84,Giving An Object,Creating,Creating Is Giving An Object
85,Gravity,Logic,Logic Is Gravity
86,Guides,Beliefs,Beliefs Are Guides
87,Having A Form,Existence,Existence Is Having A Form
88,Having A Harmful Possession,Harm,Harm Is Having A Harmful Possession
89,Heat,Anger,Anger Is Heat
90,Heat,Intense Emotions,Intense Emotions Are Heat
91,Heat,Lust,Lust Is Heat
92,Holding,Possessing,Possessing Is Holding
93,Hunger,Desire,Desire Is Hunger
94,Inflation,Conceit,Conceit Is Inflation
95,Ingesting A Substance Compulsively,Acting Compulsively,Acting Compulsively Is Ingesting A Substance Compulsively
96,Injuries,Effects Of Humor,Effects Of Humor Are Injuries
97,Journey,Longterm Purposeful Activity,Longterm Purposeful Activity Is A Journey
98,Journey,Longterm Purposeful Change,Longterm Purposeful Change Is A Journey
99,Journey,Love,Love Is A Journey
100,Kinship,Relationship,Relationship Is Kinship
101,Lacking A Needed Possession,Harm,Harm Is Lacking A Needed Possession
102,Landscape We Move Through,Time,Time Is A Landscape We Move Through
103,Life,Existence,Existence Is Life
104,Light,Hope,Hope Is Light
105,Light Source,Intelligence,Intelligence Is A Light Source
106,Light Sources,Ideas,Ideas Are Light Sources
107,Line,Light,Light Is A Line
108,Linguistic Communication,Communication,Communication Is Linguistic Communication
109,Linked Objects,Causes And Effects,Causes And Effects Are Linked Objects
110,Liquid,Money,Money Is A Liquid
111,Location (here),Existence,Existence Is A Location (here)
112,Locations,Beliefs,Beliefs Are Locations
113,Locations,Emotions,Emotions Are Locations
114,Locations,Ideas,Ideas Are Locations
115,Locations,States,States Are Locations
116,Locked Container For Its Solution,Problem,A Problem Is A Locked Container For Its Solution
117,Love Objects,Beliefs,Beliefs Are Love Objects
118,Lowering,Harming,Harming Is Lowering
119,Machine,Mind,The Mind Is A Machine
120,Machines,People,People Are Machines
121,Madness,Love,Love Is Madness
122,Madness,Strong Emotions,Strong Emotions Are Madness
123,Magic,Love,Love Is Magic
124,Maintaining Position,Emotional Stability,Emotional Stability Is Maintaining Position
125,Making,Creating,Creating Is Making
126,Making Visible,Creating,Creating Is Making Visible
127,Material,Personality,Personality Is Material
128,Money,Time,Time Is Money
129,Motion,Action,Action Is Motion
130,Motion,Change,Change Is Motion
131,Motion,Emotion,Emotion Is Motion
132,Motion,Form,Form Is Motion
133,Motion (location),Change,Change Is Motion (location)
134,Moving Object,Force,A Force Is A Moving Object
135,Moving Object,Schedule,A Schedule Is A Moving Object
136,Moving To A Location (here),Creating,Creating Is Moving To A Location (here)
137,Musical Harmony,Interpersonal Harmony,Interpersonal Harmony Is Musical Harmony
138,Nausea,Disgust,Disgust Is Nausea
139,Objects,Ideas,Ideas Are Objects
140,Objects,Opportunities,Opportunities Are Objects
141,Open Paths,Opportunities,Opportunities Are Open Paths
142,Path Over Which Motion Occurs,Means Of Change,Means Of Change Is Path Over Which Motion Occurs
143,Paths,Linear Scales,Linear Scales Are Paths
144,People,Machines,Machines Are People
145,People (w.r.t. Family Tree Structure),Theories,Theories Are People (w.r.t. Family Tree Structure)
146,People (w.r.t. Opinions),Theories,Theories Are People (w.r.t. Opinions)
147,Perceptions,Ideas,Ideas Are Perceptions
148,Physical Closeness,Emotional Intimacy,Emotional Intimacy Is Physical Closeness
149,Physical Forces.,Psychological Forces,Psychological Forces Are Physical Forces.
150,Physical Injury,Harm,Harm Is Physical Injury
151,Physical Properties,Properties,Properties Are Physical Properties
152,Plants,People,People Are Plants
153,Points (set Up In Spatial Configuration),Facts,Facts Are Points (set Up In Spatial Configuration)
154,Possession,Loved One,Loved One Is A Possession
155,Possessions,Beliefs,Beliefs Are Possessions
156,Possessions,Obligations,Obligations Are Possessions
157,Possessions,Properties,Properties Are Possessions
158,Possessions,Responsibilities,Responsibilities Are Possessions
159,Preventing Forward Motion Toward A Goal.,Harm,Harm Is Preventing Forward Motion Toward A Goal.
160,Preventing Forward Motion Toward A Goal,Harm,Harm Is Preventing Forward Motion Toward A Goal
161,Purity,Morality,Morality Is Purity
162,Pursuer,Time,Time Is A Pursuer
163,Race,Competition,Competition Is A Race
164,Reception,Perception,Perception Is Reception
165,Region In A Landscape,Problem,A Problem Is A Region In A Landscape
166,Replacement,Change,Change Is Replacement
167,Resource,Time,Time Is A Resource
168,Resources,Ideas,Ideas Are Resources
169,Self-propelled Motion,Action,Action Is Self-propelled Motion
170,Self-propelled Motion,Self-initiated Change Of State,Self-initiated Change Of State Is Self-propelled Motion
171,Shape Recognition,Perception,Perception Is Shape Recognition
172,Shapes,States,States Are Shapes
173,Shopping,Comparing And Seeking,Comparing And Seeking Is Shopping
174,Solid,Darkness,Darkness Is A Solid
175,Solving A Puzzle,Conducting Research,Conducting Research Is Solving A Puzzle
176,Something Moving Toward You,Time,Time Is Something Moving Toward You
177,Source Of Moving Entity,Necessary Prerequisite For Change,Necessary Prerequisite For Change Is Source Of Moving Entity
178,Straightness,Morality,Morality Is Straightness
179,Substance,Laughter,Laughter Is A Substance
180,Substance Contained In Affecting Causes,Force,Force Is A Substance Contained In Affecting Causes
181,Substance Directed At An Affected Party,Force,Force Is A Substance Directed At An Affected Party
182,Tangle,Problem,Problem Is A Tangle
183,Target,Problem,Problem Is A Target
184,Temporal Precedence,Causal Precedence,Causal Precedence Is Temporal Precedence
185,Tightness,Complience,Complience Is Tightness
186,"Touching, Eyes Are Limbs",Seeing,"Seeing Is Touching, Eyes Are Limbs"
187,Transferring An Object,Acting On,Acting On Is Transferring An Object
188,Unity (of Two Complementary Parts),Love,Love Is A Unity (of Two Complementary Parts)
189,Up,Control,Control Is Up
190,Up,Euphoric States,Euphoric States Are Up
191,Up,Rational,Rational Is Up
192,Visibility,Existence,Existence Is Visibility
193,War,Competition,Competition Is War
194,Warmth,Affection,Affection Is Warmth
195,Wealth,Well-being,Well-being Is Wealth
196,Weapons,Words,Words Are Weapons
197,Whole,Coherent,Coherent Is Whole
198,Writing,Ideas,Ideas Are Writing
