,image,entailment metaphor,contradiction metaphor,score_entailment,score_contradiction
11,/data/ajaunarena/our_dataset/images/1802_0.jpg,Time is a precious mineral being mined away.,Time is a self-replenishing wellspring that flows more abundantly with each draw.,-21.888809204101562,-20.032541275024414
12,/data/ajaunarena/our_dataset/images/1069_3.jpg,The supervisor shifted responsibility to the team leads.,"The supervisor clutched all responsibilities tightly, refusing to hand them over to the team leads.",-15.06761360168457,-15.015277862548828
13,/data/ajaunarena/our_dataset/images/1271_1.jpg,We're just gathering supplies for the long expedition ahead.,We can just step out the door and hit the road with empty pockets.,-12.522183418273926,-13.008509635925293
14,/data/ajaunarena/our_dataset/images/1509_1.jpg,The temple massage with her fingertips erased chapters of stress from her mind's story.,The temple massage with her fingertips inscribed fresh chapters of stress into her mind's story.,-16.264724731445312,-11.40678882598877
15,/data/ajaunarena/our_dataset/images/1472_0.jpg,They guided the economy toward recovery.,They steered a phantom wheel while the economy drifted wherever currents took it.,-13.365851402282715,-15.285064697265625
16,/data/ajaunarena/our_dataset/images/42_1.jpg,The load of inebriation dragged him down with each step.,"The spirits unburdened his every movement, lifting him into an effortless, floating grace.",-16.986989974975586,-17.758792877197266
17,/data/ajaunarena/our_dataset/images/309_0.jpg,Her time portfolio was diversified across multiple activities.,"She invested her entire time budget in a single stock, putting all her hours into one venture.",-17.005308151245117,-12.701419830322266
18,/data/ajaunarena/our_dataset/images/906_0.jpg,Her fury radiated like a desert sun.,"Her presence radiated coolness like an oasis breeze, soothing all who came near.",-17.882522583007812,-19.371339797973633
19,/data/ajaunarena/our_dataset/images/1712_3.jpg,The bridge across troubled waters led to their transformation.,"They stood before a collapsed bridge with no road forward, circling endlessly on an island of stagnation.",-16.444366455078125,-15.691034317016602
20,/data/ajaunarena/our_dataset/images/295_0.jpg,The checkout counter of commitment awaits our final choices.,"Our choices linger in an abandoned shopping cart, perpetually browsed but never purchased.",-16.009361267089844,-13.164045333862305
21,/data/ajaunarena/our_dataset/images/1417_0.jpg,Their support was a balm that soothed her anxiety.,Their criticism was corrosive acid that inflamed her anxiety and mental distress.,-17.381864547729492,-15.026275634765625
22,/data/ajaunarena/our_dataset/images/1949_0.jpg,Their research and development was an arms race for innovation.,"Their research and development declared a permanent ceasefire, contentedly keeping their existing arsenal of products.",-18.13052749633789,-20.54886817932129
23,/data/ajaunarena/our_dataset/images/690_0.jpg,Here is the anchor of being.,"Here is a drifting buoy, unmoored from the depths of being.",-18.61361312866211,-16.80591583251953
24,/data/ajaunarena/our_dataset/images/47_1.jpg,The burden of beer weighed down his eyelids.,The burden of beer lifted his eyelids wide open.,-17.416866302490234,-20.294483184814453
25,/data/ajaunarena/our_dataset/images/86_3.jpg,Our possessions are the keys to property doors.,Our possessions are chains that lock us out of property gates.,-17.359493255615234,-11.741934776306152
26,/data/ajaunarena/our_dataset/images/1866_1.jpg,She ran herself into a better situation.,She idled herself into a worse situation.,-21.241172790527344,-19.470855712890625
27,/data/ajaunarena/our_dataset/images/797_2.jpg,The young artist's talent needed pruning and guidance.,"The young artist's talent had already bloomed to perfection, requiring no cultivation or shaping to reach its full flowering.",-16.336772918701172,-16.240718841552734
28,/data/ajaunarena/our_dataset/images/761_2.jpg,Her missing pieces became poisoned arrows.,Her abundant pieces became soothing balm.,-21.98287582397461,-14.426050186157227
29,/data/ajaunarena/our_dataset/images/1117_3.jpg,Their dominion rocketed skyward.,Their dominion plummeted into the abyss and vanished.,-15.509620666503906,-17.317462921142578
30,/data/ajaunarena/our_dataset/images/166_3.jpg,Her eyes embraced the entire scene.,Her eyes could only grope at fragments of the scene.,-19.71564292907715,-17.82616424560547
31,/data/ajaunarena/our_dataset/images/1919_0.jpg,Each crossroad is a gateway to new adventures.,Each crossroad is a funnel channeling us into narrower confines.,-15.133378982543945,-18.268693923950195
32,/data/ajaunarena/our_dataset/images/266_2.jpg,Our beliefs are the signposts at life's crossroads.,"Our beliefs are blank signposts at life's crossroads, leaving us to wander without direction.",-15.845887184143066,-13.785835266113281
33,/data/ajaunarena/our_dataset/images/1248_2.jpg,The street lamps' glow pooled beneath each post.,"The street lamps' glow crystallized into sharp, angular shards beneath each post.",-21.80207061767578,-21.51386260986328
34,/data/ajaunarena/our_dataset/images/134_2.jpg,Good habits are deposits in the bank of success.,"Good habits are expired coupons at a closed register—presented but never processed, offering no discount on the price of success.",-15.457245826721191,-13.688972473144531
35,/data/ajaunarena/our_dataset/images/1008_2.jpg,Their laughter catalyzed a chain reaction of joy.,"Their laughter acted as an inhibitor, quenching any potential reaction of joy in others.",-13.962636947631836,-17.074020385742188
36,/data/ajaunarena/our_dataset/images/1356_3.jpg,Being paints itself on the canvas of space.,"Being dissolves before the canvas, refusing to crystallize into spatial form.",-20.49480438232422,-17.687843322753906
37,/data/ajaunarena/our_dataset/images/842_1.jpg,"She's like a battery in power-saving mode, conserving her energy for important moments.","She's like a battery stuck on maximum performance mode, constantly draining at full capacity with every feature running simultaneously.",-17.744281768798828,-14.080146789550781
38,/data/ajaunarena/our_dataset/images/913_1.jpg,The design journeyed into existence.,"The design remained stranded in the abstract, never arriving at reality.",-14.950906753540039,-16.925518035888672
39,/data/ajaunarena/our_dataset/images/1322_2.jpg,Their shared qualities are traded like valuable commodities.,"Their qualities are hoarded possessions locked in separate vaults, immune to any exchange or circulation.",-16.500770568847656,-14.137207984924316
40,/data/ajaunarena/our_dataset/images/1111_1.jpg,She elevated her position of power.,She plummeted into the depths of powerlessness.,-17.11565399169922,-18.988386154174805
41,/data/ajaunarena/our_dataset/images/335_0.jpg,The mind's operating system needs occasional rebooting through sleep.,"The mind is a perpetual motion machine, running indefinitely without requiring any downtime or maintenance cycles.",-19.80244255065918,-16.325298309326172
42,/data/ajaunarena/our_dataset/images/546_2.jpg,The last contract is a bone that every dog in town is fighting for.,The last contract is a rotten carcass that every dog in town turns their nose up at and walks away from.,-21.453487396240234,-17.999980926513672
43,/data/ajaunarena/our_dataset/images/1338_3.jpg,Each researcher adds their pieces to the collective knowledge puzzle.,"Each researcher hoards mismatched puzzle pieces in isolated boxes, never connecting them to form any larger picture.",-17.70460319519043,-19.534793853759766
44,/data/ajaunarena/our_dataset/images/1426_2.jpg,Her hopes subsided into the depths of despair.,Her hopes soared to the heights of triumph.,-21.447921752929688,-18.9102783203125
45,/data/ajaunarena/our_dataset/images/1449_0.jpg,The temperature between them reached fever pitch.,"The temperature between them remained at absolute zero, a frigid professional distance that never thawed.",-21.080469131469727,-23.95844268798828
46,/data/ajaunarena/our_dataset/images/1410_0.jpg,The poison of his words seeped into her resolve.,The tonic of his encouragement infused her resolve with renewed strength.,-15.277949333190918,-16.75260353088379
47,/data/ajaunarena/our_dataset/images/792_3.jpg,That community's roots run deep in the city's history.,That community is a recent transplant with shallow roots barely breaking the city's soil.,-18.49179458618164,-18.202667236328125
48,/data/ajaunarena/our_dataset/images/18_0.jpg,The financial crisis created a tsunami of debt.,The financial crisis produced merely a light mist of debt that quickly evaporated.,-18.598751068115234,-18.518352508544922
49,/data/ajaunarena/our_dataset/images/1243_0.jpg,Light cascaded down the crystal chandelier.,Light pooled and stagnated within the crystal chandelier.,-18.299028396606445,-18.84672737121582
50,/data/ajaunarena/our_dataset/images/67_1.jpg,Our deadlines are spinning like a top.,Our deadlines are moving along like trains on a fixed track.,-14.084840774536133,-18.276187896728516
51,/data/ajaunarena/our_dataset/images/1935_0.jpg,She's the inherited heirloom I'll cherish forever.,She's a short-term rental I'll return when the lease expires.,-18.206260681152344,-16.184988021850586
52,/data/ajaunarena/our_dataset/images/1303_1.jpg,The composer offered melodies to the silence.,"The composer withheld every melody, returning only emptiness to the waiting silence.",-19.55881690979004,-19.471261978149414
53,/data/ajaunarena/our_dataset/images/1445_3.jpg,Their passion boiled over in an instant.,"Their interaction remained at room temperature, never warming beyond comfortable propriety.",-15.690131187438965,-15.961560249328613
54,/data/ajaunarena/our_dataset/images/408_3.jpg,Her inner orchestra conducts her diverse talents.,Her warring inner voices shatter her talents into chaos.,-18.301671981811523,-15.96225643157959
55,/data/ajaunarena/our_dataset/images/726_1.jpg,Their proposal is weighing heavily on my mental scales.,Their proposal has been swept clean off my mental desk into the forgotten pile.,-22.76412582397461,-19.650653839111328
56,/data/ajaunarena/our_dataset/images/17_0.jpg,Fresh capital irrigated the startup ecosystem.,A capital drought left the startup ecosystem parched and withering.,-22.946983337402344,-23.35266876220703
57,/data/ajaunarena/our_dataset/images/179_0.jpg,She's surrounded by poisonous words.,She's surrounded by an oasis of healing words.,-15.811149597167969,-16.852432250976562
58,/data/ajaunarena/our_dataset/images/522_2.jpg,His words were a nauseating pill of disgust.,"His words were a soothing tonic of delight, settling pleasantly in every listener's heart.",-14.758697509765625,-18.563291549682617
59,/data/ajaunarena/our_dataset/images/821_0.jpg,The finish line beckons all competitors forward.,"Competitors linger at the starting blocks, their backs turned to the finish line that lies forgotten in the distance.",-19.305953979492188,-18.210121154785156
60,/data/ajaunarena/our_dataset/images/1140_2.jpg,Her mind was running on low battery.,Her mind was fully charged and firing on all cylinders.,-20.979291915893555,-20.600915908813477
61,/data/ajaunarena/our_dataset/images/488_1.jpg,Time is the silent revolutionist.,"Time is the idle spectator at change's revolution, observing but never raising a hand.",-23.07520294189453,-20.7807559967041
62,/data/ajaunarena/our_dataset/images/1623_3.jpg,Literature is a fertile valley where ideas grow abundantly.,Literature is an arid wasteland where no meaningful ideas take root.,-20.519580841064453,-21.147642135620117
63,/data/ajaunarena/our_dataset/images/1221_3.jpg,Each new possession is another key to maintain in life's growing keychain.,"Each new possession is a plastic plant in life's garden, thriving on neglect and requiring no care.",-18.108606338500977,-17.18027114868164
64,/data/ajaunarena/our_dataset/images/683_2.jpg,Laughter was their first aid kit in times of crisis.,Laughter was salt rubbed into their wounds during times of crisis.,-17.201658248901367,-15.14596939086914
65,/data/ajaunarena/our_dataset/images/915_2.jpg,The project has touched down.,"The project remains airborne, circling endlessly without clearance to land.",-16.312747955322266,-16.33527374267578
66,/data/ajaunarena/our_dataset/images/1014_0.jpg,She embraces power with both arms.,"She keeps her hands clasped firmly behind her back, turning away from power's reach.",-10.374529838562012,-13.499602317810059
67,/data/ajaunarena/our_dataset/images/846_3.jpg,"She's running on backup power, pushing through despite exhaustion.","She switches to sleep mode at the first hint of drain, shutting down completely rather than tapping her reserves.",-17.665563583374023,-13.96971321105957
68,/data/ajaunarena/our_dataset/images/249_0.jpg,Each challenging formula is a skilled duelist demanding precise execution.,Each challenging formula is a compliant sparring partner who yields to sloppy footwork and accepts blunt approximations without resistance.,-18.018329620361328,-15.164128303527832
69,/data/ajaunarena/our_dataset/images/514_1.jpg,Her career took a sharp turn after the promotion.,Her career remained parked in the exact same spot despite the promotion.,-15.807424545288086,-12.56460189819336
70,/data/ajaunarena/our_dataset/images/987_1.jpg,She nurtured love like a greenhouse cultivates warmth.,"She left love in a drafty freezer, all insulation stripped away, watching the cold seep in through every crack.",-15.187650680541992,-20.40233039855957
71,/data/ajaunarena/our_dataset/images/287_0.jpg,That insight is an oasis in a desert of confusion.,That insight is a labyrinth within a maze of confusion.,-20.527904510498047,-21.667552947998047
72,/data/ajaunarena/our_dataset/images/1622_0.jpg,Mathematics is a mountainous region with multiple peaks to conquer.,"Mathematics is a salt flat stretching endlessly at the same elevation, with no peaks to climb or valleys to navigate.",-16.232601165771484,-16.794326782226562
73,/data/ajaunarena/our_dataset/images/263_0.jpg,Beliefs are the trail markers on our spiritual journey.,Beliefs are misleading signposts that direct us into spiritual thickets and dead ends.,-20.55158233642578,-19.266468048095703
74,/data/ajaunarena/our_dataset/images/605_1.jpg,He maintains a steady grip on his emotions.,His emotions sweep his feet out from under him at every turn.,-20.05687141418457,-16.895938873291016
75,/data/ajaunarena/our_dataset/images/547_2.jpg,Success-hungry rivals are mice scrambling for the last piece of cheese.,"Success-oriented colleagues are diners at an endless feast, graciously passing overflowing platters to one another.",-19.001266479492188,-19.178226470947266
76,/data/ajaunarena/our_dataset/images/178_1.jpg,They're standing on the edge of a cliff.,"They're nestled in the heart of a padded valley, miles from any edge.",-14.23460578918457,-15.58521556854248
77,/data/ajaunarena/our_dataset/images/1054_0.jpg,Love is a long-distance trek with shared footsteps.,"Love is a solo sprint around the block, requiring no companion for the finish.",-13.889278411865234,-9.829680442810059
78,/data/ajaunarena/our_dataset/images/1335_3.jpg,The image becomes clearer as more pieces of evidence fall into place.,"Each additional piece of evidence only scatters the puzzle further, obscuring the picture rather than completing it.",-21.25110626220703,-17.76357650756836
79,/data/ajaunarena/our_dataset/images/1015_1.jpg,Their hands are full of opportunities.,"Their hands are empty of opportunities, grasping only at air.",-15.573407173156738,-15.939298629760742
80,/data/ajaunarena/our_dataset/images/1153_3.jpg,Fellow travelers on this road of change become our mirrors and guides.,"This transformation demands a solitary trek into unmarked wilderness, where footprints of other travelers only lead us astray.",-16.469518661499023,-15.684483528137207
81,/data/ajaunarena/our_dataset/images/1012_1.jpg,Their fingers are intertwined with success.,Their fingers grasp only at empty air where success slips away.,-16.792814254760742,-16.840496063232422
82,/data/ajaunarena/our_dataset/images/1864_3.jpg,He jogged through the transformation process.,He idled in neutral while external forces tried to push him through transformation.,-16.32147216796875,-13.572650909423828
83,/data/ajaunarena/our_dataset/images/1453_3.jpg,Their shared beliefs were a well-worn comfort blanket.,"Their shared beliefs were a hair shirt, constantly chafing and abrading their peace of mind.",-16.210283279418945,-15.672554016113281
84,/data/ajaunarena/our_dataset/images/354_3.jpg,She's a lighthouse standing steady in emotional tempests.,"She's driftwood tossed about by emotional currents, offering no anchor to those adrift.",-16.846555709838867,-15.872777938842773
85,/data/ajaunarena/our_dataset/images/1855_1.jpg,The truth came into focus like an adjusting lens.,The truth blurred into obscurity like a lens losing focus.,-12.183392524719238,-13.81657886505127
86,/data/ajaunarena/our_dataset/images/257_3.jpg,Their chemistry was an arsenal waiting to be deployed.,"Their chemistry was an empty arsenal, its ammunition long since spent.",-16.289966583251953,-14.12405776977539
87,/data/ajaunarena/our_dataset/images/1486_0.jpg,Time is an avalanche cascading down the mountain of existence.,"Time is a snowflake drifting lazily toward you, settling softly into your waiting palm where it lingers without melting.",-17.628202438354492,-16.819494247436523
88,/data/ajaunarena/our_dataset/images/774_3.jpg,"Time is an unwavering shadow, following our every move.","Time is a disinterested stranger gazing in the opposite direction, indifferent to where we wander.",-14.385543823242188,-16.100292205810547
89,/data/ajaunarena/our_dataset/images/172_0.jpg,They're trapped in quicksand of toxic relationships.,They're resting on solid ground in relationships that provide a safe harbor of support and stability.,-19.258419036865234,-18.451549530029297
90,/data/ajaunarena/our_dataset/images/734_2.jpg,Some beliefs are like fast fashion - cheaply made and quickly discarded.,All beliefs are heirloom garments - meticulously tailored by hand and carefully preserved for generations.,-13.75357437133789,-16.211833953857422
91,/data/ajaunarena/our_dataset/images/644_1.jpg,The vodka razed his rational thoughts to the ground.,The vodka fortified his rational thoughts into an impenetrable fortress.,-20.852155685424805,-21.79792022705078
92,/data/ajaunarena/our_dataset/images/487_1.jpg,Time is an eternal chameleon.,"Time is an unyielding monolith, treating all beneath it with the same rigid indifference.",-7.810362339019775,-12.767618179321289
93,/data/ajaunarena/our_dataset/images/984_2.jpg,Her heart was a thermal spring of endless affection.,"Her heart was a single match, its affection flaring briefly before burning out completely.",-17.43978500366211,-17.589475631713867
94,/data/ajaunarena/our_dataset/images/422_3.jpg,The state's economy is a square peg in a round hole.,The state's economy is a circle settling perfectly into a circular groove.,-19.50796127319336,-18.135482788085938
95,/data/ajaunarena/our_dataset/images/144_0.jpg,Her mind was running a marathon of thoughts.,"Her mind lay motionless, thoughts suspended in perfect stillness.",-18.798465728759766,-14.772985458374023
96,/data/ajaunarena/our_dataset/images/165_0.jpg,His eyes danced across the pages of the book.,"His eyes stumbled and fumbled across the pages, unable to grasp the words.",-16.039478302001953,-16.768827438354492
97,/data/ajaunarena/our_dataset/images/1079_2.jpg,She polished her moral compass daily.,She let her moral compass gather dust and tarnish in a forgotten drawer.,-15.401789665222168,-18.898662567138672
98,/data/ajaunarena/our_dataset/images/1318_0.jpg,The heat of their argument left scorch marks on their friendship.,"The heat of their argument evaporated like morning mist, leaving their friendship untouched and unchanged.",-16.993501663208008,-10.153181076049805
99,/data/ajaunarena/our_dataset/images/104_3.jpg,Lightning signed its jagged line across the sky.,Lightning painted soft halos of diffuse glow across the sky.,-19.475969314575195,-20.528785705566406
100,/data/ajaunarena/our_dataset/images/454_0.jpg,Love is two rivers merging into one mighty stream.,Love is one river that drinks its tributary dry while surging forward alone.,-13.8807954788208,-18.949495315551758
101,/data/ajaunarena/our_dataset/images/1668_1.jpg,Their beliefs are scattered like distant islands in vast seas.,Their beliefs form an integrated metropolis where every district connects through well-paved boulevards.,-16.303260803222656,-21.10344696044922
102,/data/ajaunarena/our_dataset/images/1375_1.jpg,The chill of fear numbed his ability to respond.,The heat of fear ignited his reflexes and sharpened every response.,-21.04549789428711,-21.654117584228516
103,/data/ajaunarena/our_dataset/images/572_0.jpg,"The winds of change scatter some seeds on fertile soil, while others land on barren rock.","The winds of change distribute every seed onto the same level ground, where each takes root in soil of identical richness.",-17.036277770996094,-17.10430145263672
104,/data/ajaunarena/our_dataset/images/1194_2.jpg,The orchestra of self plays different tunes simultaneously.,The self is a solitary performer frozen in a single unchanging pose.,-20.03828239440918,-14.990761756896973
105,/data/ajaunarena/our_dataset/images/120_3.jpg,Ideas are seeds that need careful cultivation to bloom into creation.,"Ideas spring up as ripe harvests, materializing instantly without planting, tending, or growing seasons.",-16.360244750976562,-15.97445297241211
106,/data/ajaunarena/our_dataset/images/504_0.jpg,"This problem is a whirlpool, pulling in resources and energy.","This problem is a shallow puddle, easily stepped over without wasting a drop of effort.",-23.642288208007812,-19.947473526000977
107,/data/ajaunarena/our_dataset/images/1289_3.jpg,Revolutionary ideas are earthquakes shaking old foundations.,"Revolutionary ideas are cement poured into cracks, solidifying old foundations.",-19.412147521972656,-23.22480010986328
108,/data/ajaunarena/our_dataset/images/975_0.jpg,His happiness rocketed through the atmosphere.,His happiness plummeted into the depths below.,-21.671001434326172,-19.03326416015625
109,/data/ajaunarena/our_dataset/images/98_0.jpg,Their argument escalated into verbal nuclear warfare.,Their argument remained a friendly sparring match with foam swords and padded armor.,-13.143250465393066,-18.64185905456543
110,/data/ajaunarena/our_dataset/images/117_0.jpg,Night's steel grip held the world motionless.,"Night's gauze curtain parted freely, inviting movement through its weightless folds.",-16.641590118408203,-15.103988647460938
111,/data/ajaunarena/our_dataset/images/1196_1.jpg,The actors in my mind perform different roles.,"A single, unchanging character in my mind delivers the same performance regardless of the audience or stage.",-24.306446075439453,-14.330961227416992
112,/data/ajaunarena/our_dataset/images/1357_2.jpg,The world crystallizes into distinct shapes.,"The world dissolves into formless mist, never condensing into separate entities.",-21.192962646484375,-14.481647491455078
113,/data/ajaunarena/our_dataset/images/1038_1.jpg,The project's actions were gravitating toward failure.,The project's actions were accelerating on a trajectory toward certain success.,-13.80742359161377,-14.555618286132812
114,/data/ajaunarena/our_dataset/images/670_1.jpg,The footsteps of time leave causal footprints behind.,Tomorrow's footsteps carve the causal path that yesterday must follow.,-16.678783416748047,-15.726612091064453
115,/data/ajaunarena/our_dataset/images/536_1.jpg,"Like humans, machines have their own families and generations.","Machines are solitary strangers, each born without ancestors and perishing without descendants or kin.",-20.115772247314453,-14.56573486328125
116,/data/ajaunarena/our_dataset/images/1577_0.jpg,Their moral obligations accelerated like objects in free fall.,"Their moral obligations decelerated like objects encountering friction, gradually losing force until they settled into gentle rest.",-16.426738739013672,-11.795075416564941
117,/data/ajaunarena/our_dataset/images/1302_0.jpg,Nature presents new life to the earth each spring.,Spring bestows decay and death upon the natural world as its annual gift.,-15.19713020324707,-14.479097366333008
118,/data/ajaunarena/our_dataset/images/1177_2.jpg,Their ideas are sparks in the night sky.,"Their ideas are burnt-out bulbs in a dim room, casting no light and inspiring no one.",-14.045622825622559,-16.13812255859375
119,/data/ajaunarena/our_dataset/images/1295_0.jpg,Hope is a buoyant force keeping us afloat in troubled waters.,Hope is an anchor dragging us down into the depths of our troubles.,-18.96881103515625,-15.521699905395508
120,/data/ajaunarena/our_dataset/images/901_1.jpg,The heat of her fury scorched everyone in the room.,The cool breeze of her serenity refreshed everyone in the room.,-22.577987670898438,-21.913042068481445
121,/data/ajaunarena/our_dataset/images/176_3.jpg,She's walking through a storm of negativity.,She's strolling through a garden of tranquility and sunshine.,-12.678022384643555,-18.698991775512695
122,/data/ajaunarena/our_dataset/images/1329_1.jpg,Their qualities are curated like a museum collection.,"Their qualities accumulate like random items in a junk drawer, gathered haphazardly without selection or care.",-12.959074974060059,-18.079021453857422
123,/data/ajaunarena/our_dataset/images/285_0.jpg,The solution lies in an underground cavern of possibilities.,"The solution sits plainly at the mountain's summit, visible to anyone who simply looks up.",-20.817747116088867,-16.319297790527344
124,/data/ajaunarena/our_dataset/images/281_0.jpg,Her mind is a bustling metropolis of interconnected thoughts.,Her mind is a barren desert where no meaningful thoughts can take root or flourish.,-20.070707321166992,-18.324291229248047
125,/data/ajaunarena/our_dataset/images/1279_2.jpg,"We've reached base camp, but the summit still towers above.",We've reached the trailhead and planted our flag at journey's end.,-12.916481018066406,-17.805583953857422
126,/data/ajaunarena/our_dataset/images/756_0.jpg,The theory flourished in the scientific community.,The theory withered and died in the scientific community.,-17.342517852783203,-14.661544799804688
127,/data/ajaunarena/our_dataset/images/811_1.jpg,Life breathes color into existence's empty rooms.,"Life finds existence's rooms already painted, each wall complete without breath or brushstroke.",-13.687814712524414,-14.581475257873535
128,/data/ajaunarena/our_dataset/images/146_1.jpg,Her mind needed proper nutrition through reading.,"Her mind thrived on emptiness, remaining robust without ever being fed through reading.",-19.83011245727539,-21.94482421875
129,/data/ajaunarena/our_dataset/images/1090_0.jpg,Her ideas were a feast for the mind.,Her ideas were stale crumbs that left the mind starving.,-19.780866622924805,-18.787385940551758
130,/data/ajaunarena/our_dataset/images/1184_0.jpg,Properties are thermal conductors of wealth.,Properties are thermal insulators that trap and stagnate wealth rather than allowing it to flow.,-17.939626693725586,-14.613130569458008
131,/data/ajaunarena/our_dataset/images/548_3.jpg,The market is a nest of seagulls fighting over a single fish.,The market is a flock of doves peacefully circling an overflowing field of grain.,-17.97940444946289,-20.686580657958984
132,/data/ajaunarena/our_dataset/images/1415_1.jpg,Success injected new energy into the team's morale.,"Failure siphoned all vitality from the team, leaving their morale utterly depleted.",-17.932788848876953,-16.874433517456055
133,/data/ajaunarena/our_dataset/images/793_3.jpg,His ideas flourished in the fertile environment of the university.,His ideas withered in the barren soil of the university.,-20.918746948242188,-19.726648330688477
134,/data/ajaunarena/our_dataset/images/983_3.jpg,Their love wrapped around them like a heated blanket.,"Their affection was a bitter wind that stripped away any warmth, leaving them shivering and exposed.",-13.798830032348633,-14.845945358276367
135,/data/ajaunarena/our_dataset/images/889_0.jpg,Her emotional equilibrium is a master juggler's performance.,"Her emotional equilibrium is a novice juggler's disaster, every ball fumbled and crashing to the ground.",-19.70431900024414,-15.94092082977295
136,/data/ajaunarena/our_dataset/images/303_0.jpg,She deposited extra hours into her weekend savings.,"She bankrupted her weekend account, burning through every hour without a budget.",-16.029211044311523,-12.046697616577148
137,/data/ajaunarena/our_dataset/images/167_0.jpg,His gaze climbed the towering building.,His gaze remained rooted at the building's foundation.,-16.75955581665039,-20.058204650878906
138,/data/ajaunarena/our_dataset/images/94_3.jpg,The debate was a crossfire of verbal artillery.,"The debate was a pillow fight of whispered suggestions, each word a feather drifting softly down.",-20.73432731628418,-18.245874404907227
139,/data/ajaunarena/our_dataset/images/772_1.jpg,"Time stalks us through the corridors of life, never losing our trail.","Time wanders aimlessly through life's corridors, constantly losing our scent and abandoning the chase.",-24.17913055419922,-20.457149505615234
140,/data/ajaunarena/our_dataset/images/1870_2.jpg,Words are bridges connecting minds across the void.,Words are walls that isolate minds in separate chambers of misunderstanding.,-18.403549194335938,-19.666648864746094
141,/data/ajaunarena/our_dataset/images/1836_3.jpg,We're standing at the edge of this problem's precipice.,We're meandering through the middle of this problem's shallow puddle.,-15.409639358520508,-13.901078224182129
142,/data/ajaunarena/our_dataset/images/1034_1.jpg,The action orbited around the central issue.,"The actions shot off on tangents, never intersecting with the central issue.",-23.543025970458984,-20.939247131347656
143,/data/ajaunarena/our_dataset/images/1794_3.jpg,This problem is a target hidden in the fog.,This problem is a bullseye painted in neon under stadium lights.,-23.146724700927734,-20.670063018798828
144,/data/ajaunarena/our_dataset/images/33_1.jpg,The manager juggled all the moving pieces.,The manager let all the pieces slip through his fingers and fall where they may.,-17.486934661865234,-14.66901683807373
145,/data/ajaunarena/our_dataset/images/588_1.jpg,The project was too big to swallow at once.,"The project was a bite-sized morsel, snapped up in one quick gulp.",-22.226102828979492,-20.071868896484375
146,/data/ajaunarena/our_dataset/images/1882_0.jpg,She's overdosing on retail therapy.,"She microdoses on shopping, never exceeding her prescribed budget.",-21.44472312927246,-18.675643920898438
147,/data/ajaunarena/our_dataset/images/1858_3.jpg,Their love glowed like a constant star.,"Their love flickered like a dying ember, briefly visible before vanishing into darkness.",-16.20960235595703,-15.409078598022461
148,/data/ajaunarena/our_dataset/images/1465_0.jpg,His ideas are raw diamonds needing careful refinement.,"His ideas are polished diamonds, flawless and ready for display.",-18.306678771972656,-16.912002563476562
149,/data/ajaunarena/our_dataset/images/1723_1.jpg,His motor was running hot all night long.,His engine remained cold and shut off all night long.,-22.397083282470703,-20.561349868774414
150,/data/ajaunarena/our_dataset/images/980_1.jpg,Her affection radiated like a gentle sunbeam.,Her affection was an arctic frost that froze others at arm's length.,-13.885706901550293,-13.210317611694336
